#grainID x y area perimeter subBoundaryLength diameter equivalentPerimeter shapeFactor isBoundary hasHole isInclusion numNeighbors phi1 Phi phi2
1 -2.771273e+01 2.613433e-01 5.154668e+00 9.546976e+00 0.000000e+00 3.467543e+00 8.048321e+00 1.186207e+00 1 0 0 3 2.244809e+02 8.265546e+01 3.442817e+02
2 -3.117682e+01 2.613433e-01 5.154668e+00 9.546976e+00 0.000000e+00 3.467543e+00 8.048321e+00 1.186207e+00 1 0 0 3 1.005254e+01 6.238479e+01 1.656788e+02
3 -6.928182e+01 2.613433e-01 5.154668e+00 9.546976e+00 0.000000e+00 3.467543e+00 8.048321e+00 1.186207e+00 1 0 0 3 8.206073e+01 6.544725e+01 2.422282e+02
4 -1.368316e+02 -8.095213e-01 4.041427e+00 8.082879e+00 0.000000e+00 3.055041e+00 7.126434e+00 1.134211e+00 0 0 0 2 3.078428e+02 7.936325e+01 1.502078e+02
5 -1.402957e+02 -8.095213e-01 4.041427e+00 8.082879e+00 0.000000e+00 3.055041e+00 7.126434e+00 1.134211e+00 0 0 0 2 3.324685e+02 1.500130e+02 3.033176e+02
6 -2.043814e+02 2.613433e-01 5.154668e+00 9.546976e+00 0.000000e+00 3.467543e+00 8.048321e+00 1.186207e+00 1 0 0 1 9.539747e+00 4.250717e+01 1.457427e+02
7 -2.320941e+02 2.613433e-01 5.154668e+00 9.546976e+00 0.000000e+00 3.467543e+00 8.048321e+00 1.186207e+00 1 0 0 2 3.042200e+02 1.055159e+02 1.371432e+01
8 -3.516052e+02 -4.023095e-02 1.435076e+01 1.762985e+01 0.000000e+00 6.929909e+00 1.342896e+01 1.312823e+00 1 0 0 3 3.570101e-01 8.912958e+01 3.514176e+02
9 -4.257243e+02 3.946558e-02 1.950543e+01 2.686743e+01 0.000000e+00 1.039342e+01 1.565607e+01 1.716103e+00 1 0 0 2 3.356595e+01 4.842187e+01 2.574390e+02
10 -4.382075e+02 2.613433e-01 1.030934e+01 1.878455e+01 0.000000e+00 6.929909e+00 1.138204e+01 1.650367e+00 1 0 0 2 2.640811e+02 1.040362e+02 1.643512e+02
11 -6.339286e+02 2.613433e-01 5.154668e+00 9.546976e+00 0.000000e+00 3.467543e+00 8.048321e+00 1.186207e+00 1 0 0 2 3.500239e+02 1.216023e+02 1.581364e+00
12 -6.928182e+02 2.613433e-01 5.154668e+00 9.546976e+00 0.000000e+00 3.467543e+00 8.048321e+00 1.186207e+00 1 0 0 2 3.319872e+02 9.369980e+01 3.540438e+02
13 -6.408568e+01 -2.999991e+00 3.464080e+00 6.928182e+00 0.000000e+00 2.309394e+00 6.597796e+00 1.050075e+00 0 0 0 2 2.717172e+02 1.406199e+02 9.519293e+01
14 -5.324493e+01 -5.701138e-01 1.127454e+02 9.037576e+01 0.000000e+00 3.766001e+01 3.764042e+01 2.401030e+00 1 0 0 8 3.127380e+02 1.053902e+02 1.724205e+02
15 -7.424666e+01 -6.992495e-01 1.266018e+01 1.762985e+01 0.000000e+00 7.112985e+00 1.261319e+01 1.397732e+00 1 0 0 2 3.401202e+02 1.519617e+02 3.272257e+02
16 -1.157959e+02 -3.491166e-01 2.701094e+01 3.033152e+01 0.000000e+00 1.174628e+01 1.842361e+01 1.646340e+00 1 0 0 3 1.277447e+02 3.728290e+01 9.728401e+01
17 -1.907219e+02 -6.504401e-01 3.047502e+01 2.802213e+01 0.000000e+00 1.039342e+01 1.956937e+01 1.431938e+00 1 0 0 4 2.471534e+02 7.752492e+01 2.196471e+02
18 -1.959524e+02 -6.992495e-01 1.266018e+01 1.762985e+01 0.000000e+00 7.112985e+00 1.261319e+01 1.397732e+00 1 0 0 2 9.441435e+00 4.251569e+01 1.458435e+02
19 -2.845858e+02 -7.881857e-01 3.393910e+01 2.802213e+01 0.000000e+00 1.039342e+01 2.065167e+01 1.356894e+00 1 0 0 4 1.883804e+02 7.992687e+01 6.284186e+01
20 -2.918006e+02 -4.930898e-01 2.185627e+01 2.109394e+01 0.000000e+00 8.365144e+00 1.657269e+01 1.272814e+00 1 0 0 4 3.290675e+02 7.121989e+01 1.732073e+02
21 -3.022419e+02 -2.499992e+00 6.928160e+00 1.154697e+01 0.000000e+00 4.163319e+00 9.330693e+00 1.237525e+00 0 0 0 3 1.364974e+02 3.624691e+01 8.012279e+01
22 -3.024386e+02 -4.090377e-01 3.105237e+01 2.917682e+01 0.000000e+00 1.174628e+01 1.975387e+01 1.477018e+00 1 0 0 6 2.842629e+02 9.150622e+01 1.434326e+02
23 -3.065720e+02 -2.999991e+00 3.464080e+00 6.928182e+00 0.000000e+00 2.309394e+00 6.597796e+00 1.050075e+00 0 0 0 3 3.915021e+01 1.490120e+02 1.471413e+01
24 -3.096993e+02 -4.213050e-01 1.781484e+01 1.993925e+01 0.000000e+00 7.112985e+00 1.496222e+01 1.332640e+00 1 0 0 5 1.287508e+02 2.008229e+01 1.092294e+02
25 -3.109021e+02 -2.499992e+00 6.928160e+00 1.154697e+01 0.000000e+00 4.163319e+00 9.330693e+00 1.237525e+00 0 0 0 3 2.015898e+02 1.197341e+02 8.109245e+01
26 -3.273566e+02 -9.556208e-01 3.282586e+01 2.455804e+01 0.000000e+00 9.237575e+00 2.031014e+01 1.209151e+00 1 0 0 3 3.091589e+02 1.323345e+02 7.386200e+01
27 -3.562484e+02 -6.992495e-01 1.266018e+01 1.532046e+01 0.000000e+00 5.126920e+00 1.261319e+01 1.214638e+00 1 0 0 3 1.378505e+02 2.211372e+01 7.033886e+01
28 -3.758539e+02 -1.820507e+00 7.505507e+00 1.270167e+01 0.000000e+00 5.033207e+00 9.711693e+00 1.307874e+00 0 0 0 2 1.369695e+02 3.486330e+01 8.035886e+01
29 -3.870736e+02 -9.187387e-01 5.006335e+01 4.303319e+01 0.000000e+00 1.703771e+01 2.508216e+01 1.715689e+00 1 0 0 3 2.142300e+02 8.718571e+01 3.499427e+01
