# Depth(nm)	Force(mN)
3.020e+00	9.992e-03
7.313e+00	5.556e-02
1.489e+01	1.025e-01
2.104e+01	1.493e-01
2.590e+01	1.914e-01
3.094e+01	2.415e-01
3.636e+01	2.865e-01
4.113e+01	3.322e-01
4.493e+01	3.767e-01
4.961e+01	4.215e-01
5.237e+01	4.682e-01
5.746e+01	5.128e-01
6.243e+01	5.597e-01
6.525e+01	6.041e-01
6.950e+01	6.487e-01
7.380e+01	6.936e-01
7.868e+01	7.393e-01
8.359e+01	7.837e-01
8.797e+01	8.286e-01
9.033e+01	8.742e-01
9.510e+01	9.193e-01
9.700e+01	9.645e-01
9.837e+01	1.009e+00
9.993e+01	1.054e+00
1.023e+02	1.101e+00
1.089e+02	1.146e+00
1.117e+02	1.190e+00
1.126e+02	1.236e+00
1.154e+02	1.281e+00
1.167e+02	1.327e+00
1.185e+02	1.372e+00
1.197e+02	1.416e+00
1.220e+02	1.461e+00
1.237e+02	1.507e+00
1.254e+02	1.551e+00
1.284e+02	1.596e+00
1.304e+02	1.641e+00
1.346e+02	1.687e+00
1.375e+02	1.731e+00
1.394e+02	1.777e+00
1.426e+02	1.822e+00
1.453e+02	1.866e+00
1.478e+02	1.912e+00
1.491e+02	1.957e+00
1.518e+02	2.001e+00
1.562e+02	2.047e+00
1.587e+02	2.092e+00
1.593e+02	2.137e+00
1.601e+02	2.181e+00
1.619e+02	2.226e+00
1.640e+02	2.271e+00
1.673e+02	2.316e+00
1.684e+02	2.361e+00
1.695e+02	2.406e+00
1.714e+02	2.451e+00
1.728e+02	2.496e+00
1.749e+02	2.542e+00
1.768e+02	2.587e+00
1.779e+02	2.632e+00
1.795e+02	2.677e+00
1.811e+02	2.722e+00
1.824e+02	2.767e+00
1.843e+02	2.811e+00
1.857e+02	2.856e+00
1.868e+02	2.901e+00
1.882e+02	2.947e+00
1.895e+02	2.992e+00
1.911e+02	3.036e+00
1.928e+02	3.082e+00
1.943e+02	3.127e+00
1.953e+02	3.171e+00
1.963e+02	3.216e+00
1.973e+02	3.262e+00
1.977e+02	3.307e+00
1.985e+02	3.352e+00
2.000e+02	3.397e+00
2.012e+02	3.441e+00
2.022e+02	3.487e+00
2.029e+02	3.532e+00
2.038e+02	3.577e+00
2.045e+02	3.621e+00
2.057e+02	3.667e+00
2.067e+02	3.713e+00
2.073e+02	3.758e+00
2.081e+02	3.804e+00
2.077e+02	3.849e+00
2.093e+02	3.895e+00
2.097e+02	3.941e+00
2.107e+02	3.986e+00
2.117e+02	4.031e+00
2.122e+02	4.076e+00
2.129e+02	4.121e+00
2.131e+02	4.167e+00
2.136e+02	4.212e+00
2.144e+02	4.257e+00
2.154e+02	4.302e+00
2.158e+02	4.347e+00
2.165e+02	4.392e+00
2.171e+02	4.437e+00
2.185e+02	4.481e+00
2.187e+02	4.500e+00
2.219e+02	4.500e+00
2.224e+02	4.424e+00
2.216e+02	4.348e+00
2.214e+02	4.273e+00
2.214e+02	4.201e+00
2.212e+02	4.127e+00
2.209e+02	4.054e+00
2.203e+02	3.980e+00
2.200e+02	3.906e+00
2.199e+02	3.833e+00
2.198e+02	3.760e+00
2.190e+02	3.687e+00
2.195e+02	3.613e+00
2.193e+02	3.540e+00
2.188e+02	3.467e+00
2.189e+02	3.394e+00
2.183e+02	3.321e+00
2.181e+02	3.247e+00
2.179e+02	3.174e+00
2.171e+02	3.102e+00
2.174e+02	3.028e+00
2.170e+02	2.953e+00
2.164e+02	2.880e+00
2.165e+02	2.807e+00
2.162e+02	2.731e+00
2.160e+02	2.659e+00
2.157e+02	2.585e+00
2.155e+02	2.512e+00
2.151e+02	2.439e+00
2.146e+02	2.367e+00
2.144e+02	2.293e+00
2.141e+02	2.220e+00
2.142e+02	2.146e+00
2.138e+02	2.074e+00
2.133e+02	2.001e+00
2.131e+02	1.929e+00
2.128e+02	1.856e+00
2.124e+02	1.782e+00
2.119e+02	1.708e+00
2.116e+02	1.634e+00
2.117e+02	1.561e+00
2.115e+02	1.488e+00
2.110e+02	1.415e+00
2.107e+02	1.342e+00
2.102e+02	1.268e+00
2.101e+02	1.196e+00
2.094e+02	1.123e+00
2.088e+02	1.050e+00
2.083e+02	9.773e-01
2.082e+02	9.046e-01
2.079e+02	8.296e-01
2.072e+02	7.561e-01
2.066e+02	6.836e-01
2.063e+02	6.098e-01
2.055e+02	5.365e-01
2.049e+02	4.627e-01
2.041e+02	4.490e-01
2.050e+02	4.490e-01
2.045e+02	3.770e-01
2.041e+02	3.029e-01
2.034e+02	2.290e-01
2.032e+02	1.554e-01
2.023e+02	8.206e-02
2.006e+02	8.160e-03
1.992e+02	0.000e+00
