# Depth(nm)	Force(mN)
2.707e+00	7.362e-03
3.303e+00	2.768e-02
5.322e+00	4.807e-02
1.051e+01	6.963e-02
1.382e+01	8.828e-02
1.672e+01	1.104e-01
1.989e+01	1.309e-01
2.194e+01	1.507e-01
2.418e+01	1.709e-01
2.665e+01	1.908e-01
2.927e+01	2.111e-01
3.223e+01	2.309e-01
3.450e+01	2.511e-01
3.717e+01	2.709e-01
4.037e+01	2.908e-01
4.266e+01	3.108e-01
4.335e+01	3.306e-01
4.500e+01	3.507e-01
4.622e+01	3.704e-01
4.718e+01	3.907e-01
4.935e+01	4.107e-01
5.078e+01	4.313e-01
5.249e+01	4.513e-01
5.409e+01	4.713e-01
5.624e+01	4.915e-01
5.913e+01	5.114e-01
6.325e+01	5.324e-01
6.590e+01	5.526e-01
6.881e+01	5.725e-01
7.080e+01	5.925e-01
7.263e+01	6.126e-01
7.465e+01	6.325e-01
7.510e+01	6.525e-01
7.631e+01	6.724e-01
7.639e+01	6.929e-01
7.826e+01	7.130e-01
7.920e+01	7.330e-01
8.150e+01	7.534e-01
8.276e+01	7.734e-01
8.320e+01	7.935e-01
8.402e+01	8.133e-01
8.652e+01	8.334e-01
8.974e+01	8.533e-01
9.097e+01	8.734e-01
9.187e+01	8.941e-01
9.201e+01	9.142e-01
9.215e+01	9.344e-01
9.284e+01	9.546e-01
9.300e+01	9.748e-01
9.406e+01	9.949e-01
9.514e+01	1.015e+00
9.761e+01	1.036e+00
9.903e+01	1.056e+00
1.005e+02	1.077e+00
1.024e+02	1.097e+00
1.039e+02	1.116e+00
1.056e+02	1.137e+00
1.064e+02	1.157e+00
1.071e+02	1.177e+00
1.090e+02	1.197e+00
1.096e+02	1.217e+00
1.100e+02	1.237e+00
1.107e+02	1.257e+00
1.115e+02	1.276e+00
1.144e+02	1.297e+00
1.162e+02	1.316e+00
1.164e+02	1.337e+00
1.175e+02	1.357e+00
1.193e+02	1.376e+00
1.198e+02	1.396e+00
1.215e+02	1.416e+00
1.220e+02	1.437e+00
1.226e+02	1.456e+00
1.247e+02	1.476e+00
1.251e+02	1.497e+00
1.266e+02	1.516e+00
1.276e+02	1.537e+00
1.283e+02	1.557e+00
1.296e+02	1.577e+00
1.311e+02	1.597e+00
1.316e+02	1.616e+00
1.321e+02	1.637e+00
1.325e+02	1.657e+00
1.334e+02	1.677e+00
1.347e+02	1.697e+00
1.356e+02	1.717e+00
1.365e+02	1.737e+00
1.380e+02	1.756e+00
1.385e+02	1.776e+00
1.391e+02	1.797e+00
1.394e+02	1.817e+00
1.401e+02	1.837e+00
1.412e+02	1.857e+00
1.429e+02	1.877e+00
1.438e+02	1.896e+00
1.441e+02	1.916e+00
1.446e+02	1.937e+00
1.452e+02	1.957e+00
1.461e+02	1.977e+00
1.471e+02	1.997e+00
1.486e+02	2.000e+00
1.521e+02	2.000e+00
1.516e+02	1.967e+00
1.515e+02	1.935e+00
1.517e+02	1.902e+00
1.511e+02	1.870e+00
1.511e+02	1.838e+00
1.509e+02	1.805e+00
1.506e+02	1.773e+00
1.507e+02	1.741e+00
1.499e+02	1.708e+00
1.499e+02	1.676e+00
1.497e+02	1.643e+00
1.497e+02	1.610e+00
1.491e+02	1.578e+00
1.491e+02	1.545e+00
1.494e+02	1.513e+00
1.488e+02	1.481e+00
1.487e+02	1.448e+00
1.485e+02	1.416e+00
1.479e+02	1.383e+00
1.478e+02	1.351e+00
1.478e+02	1.318e+00
1.475e+02	1.284e+00
1.474e+02	1.252e+00
1.472e+02	1.218e+00
1.471e+02	1.186e+00
1.466e+02	1.153e+00
1.464e+02	1.121e+00
1.464e+02	1.088e+00
1.459e+02	1.056e+00
1.457e+02	1.024e+00
1.455e+02	9.908e-01
1.454e+02	9.582e-01
1.451e+02	9.256e-01
1.450e+02	8.932e-01
1.447e+02	8.605e-01
1.444e+02	8.273e-01
1.443e+02	7.948e-01
1.438e+02	7.624e-01
1.437e+02	7.299e-01
1.433e+02	6.974e-01
1.429e+02	6.649e-01
1.427e+02	6.314e-01
1.425e+02	5.983e-01
1.422e+02	5.649e-01
1.417e+02	5.324e-01
1.418e+02	4.999e-01
1.409e+02	4.676e-01
1.404e+02	4.349e-01
1.407e+02	4.025e-01
1.401e+02	3.702e-01
1.399e+02	3.373e-01
1.396e+02	3.049e-01
1.393e+02	2.720e-01
1.386e+02	2.391e-01
1.382e+02	2.066e-01
1.382e+02	1.993e-01
1.346e+02	1.993e-01
1.344e+02	1.677e-01
1.339e+02	1.352e-01
1.337e+02	1.026e-01
1.340e+02	7.000e-02
1.335e+02	3.610e-02
1.321e+02	2.740e-03
1.318e+02	0.000e+00
