# Depth(nm)	Force(mN)
3.017e+00	9.175e-03
3.801e+00	2.424e-02
5.238e+00	3.905e-02
8.045e+00	5.452e-02
9.682e+00	7.005e-02
1.249e+01	8.543e-02
1.476e+01	1.004e-01
1.728e+01	1.160e-01
1.977e+01	1.310e-01
2.190e+01	1.460e-01
2.359e+01	1.609e-01
2.564e+01	1.761e-01
2.777e+01	1.910e-01
2.893e+01	2.060e-01
3.149e+01	2.210e-01
3.436e+01	2.361e-01
3.658e+01	2.510e-01
3.875e+01	2.661e-01
4.038e+01	2.812e-01
4.109e+01	2.963e-01
4.220e+01	3.111e-01
4.281e+01	3.260e-01
4.457e+01	3.411e-01
4.569e+01	3.560e-01
4.688e+01	3.710e-01
4.925e+01	3.861e-01
5.158e+01	4.010e-01
5.351e+01	4.164e-01
5.515e+01	4.313e-01
5.588e+01	4.463e-01
5.742e+01	4.612e-01
6.003e+01	4.761e-01
6.222e+01	4.911e-01
6.369e+01	5.060e-01
6.445e+01	5.214e-01
6.441e+01	5.365e-01
6.642e+01	5.513e-01
6.782e+01	5.662e-01
6.934e+01	5.812e-01
6.974e+01	5.963e-01
7.090e+01	6.112e-01
7.197e+01	6.265e-01
7.239e+01	6.413e-01
7.289e+01	6.565e-01
7.351e+01	6.714e-01
7.607e+01	6.867e-01
7.710e+01	7.015e-01
7.788e+01	7.165e-01
8.034e+01	7.317e-01
8.224e+01	7.467e-01
8.360e+01	7.618e-01
8.392e+01	7.768e-01
8.450e+01	7.920e-01
8.522e+01	8.072e-01
8.625e+01	8.222e-01
8.646e+01	8.373e-01
8.730e+01	8.524e-01
8.784e+01	8.678e-01
8.856e+01	8.826e-01
8.984e+01	8.978e-01
9.134e+01	9.126e-01
9.305e+01	9.277e-01
9.575e+01	9.431e-01
9.750e+01	9.584e-01
9.899e+01	9.735e-01
9.996e+01	9.888e-01
1.017e+02	1.004e+00
1.028e+02	1.019e+00
1.025e+02	1.034e+00
1.031e+02	1.049e+00
1.028e+02	1.064e+00
1.034e+02	1.079e+00
1.033e+02	1.094e+00
1.038e+02	1.109e+00
1.046e+02	1.124e+00
1.056e+02	1.139e+00
1.059e+02	1.154e+00
1.066e+02	1.169e+00
1.078e+02	1.184e+00
1.099e+02	1.199e+00
1.114e+02	1.214e+00
1.124e+02	1.229e+00
1.131e+02	1.244e+00
1.137e+02	1.259e+00
1.138e+02	1.274e+00
1.141e+02	1.289e+00
1.146e+02	1.304e+00
1.151e+02	1.319e+00
1.153e+02	1.334e+00
1.170e+02	1.349e+00
1.170e+02	1.364e+00
1.177e+02	1.379e+00
1.184e+02	1.394e+00
1.184e+02	1.409e+00
1.197e+02	1.424e+00
1.198e+02	1.439e+00
1.203e+02	1.454e+00
1.203e+02	1.469e+00
1.214e+02	1.484e+00
1.231e+02	1.500e+00
1.243e+02	1.500e+00
1.273e+02	1.500e+00
1.276e+02	1.475e+00
1.276e+02	1.451e+00
1.272e+02	1.426e+00
1.275e+02	1.401e+00
1.273e+02	1.377e+00
1.267e+02	1.354e+00
1.265e+02	1.327e+00
1.265e+02	1.302e+00
1.261e+02	1.278e+00
1.262e+02	1.253e+00
1.262e+02	1.229e+00
1.260e+02	1.204e+00
1.257e+02	1.180e+00
1.255e+02	1.155e+00
1.257e+02	1.131e+00
1.247e+02	1.107e+00
1.248e+02	1.082e+00
1.250e+02	1.058e+00
1.247e+02	1.034e+00
1.249e+02	1.010e+00
1.245e+02	9.847e-01
1.241e+02	9.605e-01
1.239e+02	9.360e-01
1.238e+02	9.115e-01
1.236e+02	8.872e-01
1.234e+02	8.623e-01
1.234e+02	8.382e-01
1.233e+02	8.138e-01
1.230e+02	7.890e-01
1.225e+02	7.645e-01
1.228e+02	7.404e-01
1.228e+02	7.158e-01
1.226e+02	6.915e-01
1.222e+02	6.672e-01
1.222e+02	6.422e-01
1.211e+02	6.175e-01
1.210e+02	5.929e-01
1.211e+02	5.686e-01
1.208e+02	5.443e-01
1.207e+02	5.196e-01
1.206e+02	4.946e-01
1.200e+02	4.702e-01
1.203e+02	4.460e-01
1.200e+02	4.217e-01
1.195e+02	3.973e-01
1.193e+02	3.733e-01
1.191e+02	3.486e-01
1.188e+02	3.243e-01
1.184e+02	2.999e-01
1.183e+02	2.754e-01
1.179e+02	2.508e-01
1.181e+02	2.265e-01
1.175e+02	2.019e-01
1.171e+02	1.773e-01
1.166e+02	1.523e-01
1.156e+02	1.491e-01
1.150e+02	1.491e-01
1.146e+02	1.246e-01
1.146e+02	1.004e-01
1.144e+02	7.628e-02
1.134e+02	5.176e-02
1.124e+02	2.685e-02
1.091e+02	2.568e-03
1.101e+02	0.000e+00
