# Depth(nm)	Force(mN)
3.249e+00	9.968e-03
4.626e+00	3.444e-02
6.640e+00	6.028e-02
8.150e+00	8.560e-02
1.558e+01	1.109e-01
2.061e+01	1.368e-01
2.369e+01	1.617e-01
2.695e+01	1.874e-01
3.022e+01	2.119e-01
3.413e+01	2.365e-01
3.765e+01	2.614e-01
3.966e+01	2.863e-01
4.194e+01	3.113e-01
4.449e+01	3.363e-01
4.661e+01	3.613e-01
4.874e+01	3.864e-01
5.158e+01	4.113e-01
5.319e+01	4.373e-01
5.573e+01	4.624e-01
5.894e+01	4.880e-01
6.436e+01	5.130e-01
6.882e+01	5.388e-01
7.236e+01	5.639e-01
7.514e+01	5.888e-01
7.778e+01	6.138e-01
7.942e+01	6.389e-01
8.019e+01	6.651e-01
8.030e+01	6.901e-01
8.117e+01	7.154e-01
8.142e+01	7.402e-01
8.243e+01	7.655e-01
8.303e+01	7.903e-01
8.503e+01	8.156e-01
8.803e+01	8.413e-01
8.943e+01	8.662e-01
9.003e+01	8.911e-01
9.214e+01	9.159e-01
9.574e+01	9.409e-01
9.818e+01	9.657e-01
1.011e+02	9.905e-01
1.030e+02	1.016e+00
1.044e+02	1.042e+00
1.055e+02	1.066e+00
1.069e+02	1.091e+00
1.074e+02	1.116e+00
1.082e+02	1.142e+00
1.097e+02	1.166e+00
1.103e+02	1.192e+00
1.119e+02	1.217e+00
1.131e+02	1.242e+00
1.146e+02	1.267e+00
1.151e+02	1.292e+00
1.172e+02	1.317e+00
1.190e+02	1.342e+00
1.200e+02	1.367e+00
1.226e+02	1.392e+00
1.239e+02	1.416e+00
1.252e+02	1.441e+00
1.264e+02	1.466e+00
1.286e+02	1.492e+00
1.296e+02	1.516e+00
1.307e+02	1.542e+00
1.319e+02	1.566e+00
1.329e+02	1.591e+00
1.334e+02	1.616e+00
1.342e+02	1.641e+00
1.371e+02	1.667e+00
1.384e+02	1.691e+00
1.396e+02	1.716e+00
1.406e+02	1.741e+00
1.415e+02	1.766e+00
1.424e+02	1.792e+00
1.431e+02	1.816e+00
1.447e+02	1.841e+00
1.466e+02	1.866e+00
1.475e+02	1.891e+00
1.489e+02	1.916e+00
1.522e+02	1.941e+00
1.535e+02	1.966e+00
1.544e+02	1.991e+00
1.553e+02	2.016e+00
1.563e+02	2.041e+00
1.573e+02	2.066e+00
1.584e+02	2.091e+00
1.594e+02	2.116e+00
1.599e+02	2.141e+00
1.608e+02	2.166e+00
1.618e+02	2.191e+00
1.624e+02	2.216e+00
1.636e+02	2.241e+00
1.648e+02	2.266e+00
1.656e+02	2.291e+00
1.665e+02	2.316e+00
1.675e+02	2.341e+00
1.679e+02	2.366e+00
1.691e+02	2.391e+00
1.710e+02	2.416e+00
1.723e+02	2.441e+00
1.727e+02	2.466e+00
1.730e+02	2.492e+00
1.737e+02	2.500e+00
1.789e+02	2.500e+00
1.789e+02	2.459e+00
1.787e+02	2.418e+00
1.784e+02	2.377e+00
1.780e+02	2.336e+00
1.779e+02	2.296e+00
1.776e+02	2.255e+00
1.772e+02	2.214e+00
1.773e+02	2.174e+00
1.769e+02	2.134e+00
1.767e+02	2.093e+00
1.767e+02	2.051e+00
1.762e+02	2.010e+00
1.761e+02	1.969e+00
1.761e+02	1.928e+00
1.760e+02	1.888e+00
1.758e+02	1.847e+00
1.753e+02	1.806e+00
1.741e+02	1.766e+00
1.747e+02	1.726e+00
1.748e+02	1.684e+00
1.749e+02	1.643e+00
1.745e+02	1.602e+00
1.744e+02	1.562e+00
1.740e+02	1.521e+00
1.740e+02	1.481e+00
1.735e+02	1.440e+00
1.734e+02	1.400e+00
1.730e+02	1.359e+00
1.726e+02	1.318e+00
1.729e+02	1.277e+00
1.719e+02	1.237e+00
1.721e+02	1.196e+00
1.719e+02	1.155e+00
1.717e+02	1.114e+00
1.714e+02	1.073e+00
1.711e+02	1.033e+00
1.708e+02	9.929e-01
1.707e+02	9.513e-01
1.705e+02	9.109e-01
1.700e+02	8.700e-01
1.698e+02	8.292e-01
1.696e+02	7.884e-01
1.692e+02	7.469e-01
1.691e+02	7.059e-01
1.687e+02	6.658e-01
1.681e+02	6.246e-01
1.681e+02	5.845e-01
1.679e+02	5.429e-01
1.675e+02	5.023e-01
1.673e+02	4.618e-01
1.667e+02	4.214e-01
1.666e+02	3.797e-01
1.659e+02	3.384e-01
1.651e+02	2.979e-01
1.647e+02	2.571e-01
1.638e+02	2.490e-01
1.631e+02	2.490e-01
1.631e+02	2.066e-01
1.623e+02	1.653e-01
1.616e+02	1.236e-01
1.613e+02	8.165e-02
1.603e+02	4.143e-02
1.553e+02	3.910e-04
1.492e+02	0.000e+00
