# Depth(nm)	Force(mN)
3.677e+00	1.002e-02
5.859e+00	4.497e-02
1.005e+01	8.090e-02
1.679e+01	1.165e-01
2.213e+01	1.531e-01
2.576e+01	1.882e-01
3.033e+01	2.237e-01
3.419e+01	2.582e-01
3.753e+01	2.938e-01
4.236e+01	3.289e-01
4.812e+01	3.635e-01
5.194e+01	3.989e-01
5.433e+01	4.338e-01
5.760e+01	4.703e-01
6.094e+01	5.050e-01
6.491e+01	5.416e-01
6.745e+01	5.764e-01
7.043e+01	6.113e-01
7.476e+01	6.462e-01
7.873e+01	6.819e-01
8.167e+01	7.171e-01
8.415e+01	7.534e-01
8.617e+01	7.889e-01
8.831e+01	8.236e-01
8.935e+01	8.584e-01
9.003e+01	8.935e-01
9.188e+01	9.286e-01
9.284e+01	9.639e-01
9.522e+01	9.994e-01
9.810e+01	1.035e+00
1.010e+02	1.071e+00
1.019e+02	1.106e+00
1.045e+02	1.141e+00
1.059e+02	1.177e+00
1.070e+02	1.212e+00
1.090e+02	1.247e+00
1.114e+02	1.282e+00
1.143e+02	1.317e+00
1.172e+02	1.352e+00
1.196e+02	1.387e+00
1.218e+02	1.422e+00
1.237e+02	1.457e+00
1.250e+02	1.492e+00
1.284e+02	1.527e+00
1.294e+02	1.562e+00
1.304e+02	1.597e+00
1.321e+02	1.632e+00
1.334e+02	1.667e+00
1.352e+02	1.702e+00
1.364e+02	1.737e+00
1.374e+02	1.772e+00
1.387e+02	1.807e+00
1.403e+02	1.842e+00
1.432e+02	1.877e+00
1.463e+02	1.912e+00
1.486e+02	1.947e+00
1.501e+02	1.983e+00
1.515e+02	2.018e+00
1.523e+02	2.053e+00
1.543e+02	2.088e+00
1.557e+02	2.124e+00
1.573e+02	2.158e+00
1.583e+02	2.193e+00
1.596e+02	2.228e+00
1.617e+02	2.263e+00
1.628e+02	2.298e+00
1.639e+02	2.333e+00
1.646e+02	2.368e+00
1.666e+02	2.404e+00
1.677e+02	2.439e+00
1.686e+02	2.475e+00
1.697e+02	2.510e+00
1.712e+02	2.544e+00
1.733e+02	2.579e+00
1.739e+02	2.614e+00
1.749e+02	2.650e+00
1.763e+02	2.685e+00
1.777e+02	2.721e+00
1.788e+02	2.756e+00
1.803e+02	2.791e+00
1.823e+02	2.827e+00
1.834e+02	2.862e+00
1.854e+02	2.897e+00
1.863e+02	2.932e+00
1.868e+02	2.967e+00
1.877e+02	3.002e+00
1.882e+02	3.037e+00
1.885e+02	3.072e+00
1.909e+02	3.107e+00
1.921e+02	3.142e+00
1.932e+02	3.178e+00
1.939e+02	3.213e+00
1.952e+02	3.249e+00
1.959e+02	3.284e+00
1.968e+02	3.319e+00
1.981e+02	3.354e+00
1.991e+02	3.389e+00
2.005e+02	3.424e+00
2.020e+02	3.459e+00
2.032e+02	3.495e+00
2.043e+02	3.530e+00
2.055e+02	3.567e+00
2.070e+02	3.601e+00
2.077e+02	3.636e+00
2.083e+02	3.672e+00
2.095e+02	3.707e+00
2.103e+02	3.742e+00
2.111e+02	3.777e+00
2.115e+02	3.813e+00
2.123e+02	3.848e+00
2.129e+02	3.883e+00
2.139e+02	3.918e+00
2.149e+02	3.953e+00
2.154e+02	3.988e+00
2.166e+02	4.023e+00
2.174e+02	4.059e+00
2.180e+02	4.094e+00
2.184e+02	4.131e+00
2.192e+02	4.166e+00
2.198e+02	4.201e+00
2.205e+02	4.236e+00
2.215e+02	4.271e+00
2.223e+02	4.307e+00
2.231e+02	4.342e+00
2.239e+02	4.377e+00
2.247e+02	4.412e+00
2.249e+02	4.447e+00
2.258e+02	4.482e+00
2.265e+02	4.517e+00
2.275e+02	4.553e+00
2.282e+02	4.588e+00
2.290e+02	4.623e+00
2.298e+02	4.658e+00
2.304e+02	4.693e+00
2.311e+02	4.729e+00
2.319e+02	4.764e+00
2.331e+02	4.800e+00
2.334e+02	4.836e+00
2.342e+02	4.871e+00
2.346e+02	4.907e+00
2.356e+02	4.943e+00
2.364e+02	4.979e+00
2.369e+02	5.014e+00
2.376e+02	5.049e+00
2.383e+02	5.084e+00
2.388e+02	5.119e+00
2.397e+02	5.155e+00
2.404e+02	5.190e+00
2.415e+02	5.225e+00
2.422e+02	5.261e+00
2.430e+02	5.296e+00
2.442e+02	5.332e+00
2.447e+02	5.367e+00
2.455e+02	5.402e+00
2.466e+02	5.438e+00
2.477e+02	5.473e+00
2.487e+02	5.508e+00
2.501e+02	5.544e+00
2.509e+02	5.580e+00
2.512e+02	5.615e+00
2.522e+02	5.650e+00
2.526e+02	5.685e+00
2.536e+02	5.719e+00
2.545e+02	5.755e+00
2.558e+02	5.791e+00
2.565e+02	5.826e+00
2.573e+02	5.861e+00
2.582e+02	5.896e+00
2.590e+02	5.932e+00
2.596e+02	5.967e+00
2.605e+02	6.004e+00
2.614e+02	6.040e+00
2.621e+02	6.075e+00
2.629e+02	6.110e+00
2.642e+02	6.145e+00
2.650e+02	6.180e+00
2.663e+02	6.215e+00
2.672e+02	6.250e+00
2.677e+02	6.286e+00
2.687e+02	6.321e+00
2.694e+02	6.357e+00
2.706e+02	6.392e+00
2.714e+02	6.428e+00
2.724e+02	6.464e+00
2.733e+02	6.498e+00
