# Depth(nm)	Force(mN)
2.914e+00	9.158e-03
3.670e+00	2.166e-02
4.702e+00	3.436e-02
6.090e+00	4.742e-02
8.025e+00	5.995e-02
1.172e+01	7.368e-02
1.435e+01	8.610e-02
1.586e+01	9.872e-02
1.871e+01	1.116e-01
1.992e+01	1.242e-01
2.162e+01	1.367e-01
2.362e+01	1.492e-01
2.501e+01	1.616e-01
2.662e+01	1.741e-01
2.804e+01	1.867e-01
2.954e+01	1.993e-01
3.057e+01	2.117e-01
3.215e+01	2.241e-01
3.451e+01	2.369e-01
3.585e+01	2.493e-01
3.850e+01	2.619e-01
4.051e+01	2.744e-01
4.226e+01	2.868e-01
4.294e+01	2.992e-01
4.405e+01	3.117e-01
4.495e+01	3.246e-01
4.518e+01	3.372e-01
4.669e+01	3.497e-01
4.778e+01	3.622e-01
4.981e+01	3.748e-01
5.099e+01	3.875e-01
5.190e+01	4.000e-01
5.362e+01	4.135e-01
5.490e+01	4.260e-01
5.801e+01	4.386e-01
6.019e+01	4.510e-01
6.083e+01	4.636e-01
6.106e+01	4.761e-01
6.221e+01	4.886e-01
6.379e+01	5.010e-01
6.475e+01	5.137e-01
6.556e+01	5.263e-01
6.764e+01	5.388e-01
6.993e+01	5.512e-01
7.096e+01	5.638e-01
7.112e+01	5.762e-01
7.168e+01	5.886e-01
7.244e+01	6.010e-01
7.362e+01	6.137e-01
7.560e+01	6.263e-01
7.621e+01	6.387e-01
7.777e+01	6.512e-01
7.824e+01	6.636e-01
7.889e+01	6.762e-01
7.924e+01	6.886e-01
7.985e+01	7.012e-01
8.076e+01	7.139e-01
8.101e+01	7.267e-01
8.240e+01	7.392e-01
8.336e+01	7.517e-01
8.385e+01	7.641e-01
8.418e+01	7.768e-01
8.501e+01	7.894e-01
8.607e+01	8.020e-01
8.784e+01	8.148e-01
8.950e+01	8.277e-01
9.023e+01	8.403e-01
9.011e+01	8.528e-01
9.117e+01	8.651e-01
9.148e+01	8.776e-01
9.236e+01	8.900e-01
9.393e+01	9.026e-01
9.459e+01	9.150e-01
9.628e+01	9.276e-01
9.696e+01	9.402e-01
9.739e+01	9.529e-01
9.738e+01	9.653e-01
9.789e+01	9.775e-01
9.961e+01	9.901e-01
1.008e+02	1.002e+00
1.014e+02	1.015e+00
1.025e+02	1.028e+00
1.042e+02	1.040e+00
1.046e+02	1.053e+00
1.049e+02	1.065e+00
1.056e+02	1.078e+00
1.057e+02	1.091e+00
1.062e+02	1.103e+00
1.062e+02	1.116e+00
1.067e+02	1.129e+00
1.078e+02	1.141e+00
1.084e+02	1.154e+00
1.097e+02	1.166e+00
1.109e+02	1.178e+00
1.121e+02	1.191e+00
1.126e+02	1.204e+00
1.129e+02	1.216e+00
1.131e+02	1.229e+00
1.131e+02	1.241e+00
1.127e+02	1.250e+00
1.210e+02	1.250e+00
1.210e+02	1.229e+00
1.209e+02	1.208e+00
1.211e+02	1.188e+00
1.206e+02	1.167e+00
1.204e+02	1.147e+00
1.201e+02	1.127e+00
1.201e+02	1.106e+00
1.199e+02	1.086e+00
1.195e+02	1.065e+00
1.199e+02	1.045e+00
1.193e+02	1.025e+00
1.192e+02	1.005e+00
1.193e+02	9.842e-01
1.191e+02	9.639e-01
1.188e+02	9.437e-01
1.189e+02	9.236e-01
1.187e+02	9.029e-01
1.185e+02	8.820e-01
1.182e+02	8.618e-01
1.181e+02	8.412e-01
1.181e+02	8.208e-01
1.180e+02	8.005e-01
1.179e+02	7.798e-01
1.173e+02	7.592e-01
1.176e+02	7.388e-01
1.173e+02	7.182e-01
1.173e+02	6.980e-01
1.171e+02	6.775e-01
1.168e+02	6.572e-01
1.163e+02	6.368e-01
1.163e+02	6.165e-01
1.164e+02	5.963e-01
1.163e+02	5.759e-01
1.160e+02	5.558e-01
1.158e+02	5.352e-01
1.157e+02	5.150e-01
1.151e+02	4.944e-01
1.156e+02	4.743e-01
1.151e+02	4.542e-01
1.150e+02	4.341e-01
1.146e+02	4.135e-01
1.146e+02	3.932e-01
1.145e+02	3.726e-01
1.142e+02	3.516e-01
1.137e+02	3.310e-01
1.137e+02	3.107e-01
1.135e+02	2.903e-01
1.127e+02	2.701e-01
1.127e+02	2.496e-01
1.114e+02	2.294e-01
1.116e+02	2.090e-01
1.114e+02	1.883e-01
1.111e+02	1.680e-01
1.108e+02	1.477e-01
1.102e+02	1.274e-01
1.100e+02	1.241e-01
1.083e+02	1.241e-01
1.080e+02	1.037e-01
1.084e+02	8.330e-02
1.076e+02	6.301e-02
1.075e+02	4.282e-02
1.074e+02	2.245e-02
1.069e+02	2.080e-03
1.062e+02	0.000e+00
