# Depth(nm)	Force(mN)
1.789e+00	2.719e-03
4.933e+00	3.378e-02
9.484e+00	6.484e-02
1.373e+01	9.555e-02
1.821e+01	1.263e-01
2.158e+01	1.562e-01
2.432e+01	1.863e-01
2.758e+01	2.166e-01
3.130e+01	2.469e-01
3.457e+01	2.767e-01
3.774e+01	3.066e-01
4.087e+01	3.365e-01
4.418e+01	3.668e-01
4.817e+01	3.965e-01
5.188e+01	4.282e-01
5.488e+01	4.580e-01
5.807e+01	4.884e-01
6.049e+01	5.183e-01
6.194e+01	5.494e-01
6.124e+01	5.797e-01
6.336e+01	6.098e-01
6.477e+01	6.397e-01
6.672e+01	6.698e-01
6.911e+01	6.999e-01
7.133e+01	7.297e-01
7.249e+01	7.594e-01
7.598e+01	7.899e-01
7.852e+01	8.198e-01
8.087e+01	8.500e-01
8.275e+01	8.802e-01
8.386e+01	9.111e-01
8.421e+01	9.411e-01
8.505e+01	9.711e-01
8.676e+01	1.001e+00
8.800e+01	1.032e+00
8.997e+01	1.062e+00
9.278e+01	1.092e+00
9.488e+01	1.123e+00
9.600e+01	1.152e+00
9.757e+01	1.183e+00
9.971e+01	1.213e+00
1.016e+02	1.243e+00
1.023e+02	1.273e+00
1.038e+02	1.303e+00
1.065e+02	1.333e+00
1.079e+02	1.363e+00
1.095e+02	1.394e+00
1.099e+02	1.424e+00
1.107e+02	1.454e+00
1.123e+02	1.484e+00
1.141e+02	1.514e+00
1.153e+02	1.544e+00
1.169e+02	1.574e+00
1.191e+02	1.604e+00
1.208e+02	1.634e+00
1.221e+02	1.664e+00
1.229e+02	1.694e+00
1.236e+02	1.724e+00
1.246e+02	1.754e+00
1.257e+02	1.784e+00
1.276e+02	1.814e+00
1.298e+02	1.844e+00
1.308e+02	1.874e+00
1.326e+02	1.904e+00
1.335e+02	1.934e+00
1.347e+02	1.964e+00
1.363e+02	1.994e+00
1.374e+02	2.024e+00
1.392e+02	2.054e+00
1.409e+02	2.085e+00
1.416e+02	2.115e+00
1.431e+02	2.145e+00
1.447e+02	2.176e+00
1.462e+02	2.206e+00
1.475e+02	2.236e+00
1.484e+02	2.266e+00
1.493e+02	2.297e+00
1.508e+02	2.326e+00
1.519e+02	2.356e+00
1.526e+02	2.386e+00
1.534e+02	2.416e+00
1.546e+02	2.446e+00
1.561e+02	2.476e+00
1.573e+02	2.506e+00
1.587e+02	2.536e+00
1.602e+02	2.566e+00
1.613e+02	2.596e+00
1.623e+02	2.626e+00
1.635e+02	2.656e+00
1.640e+02	2.686e+00
1.651e+02	2.716e+00
1.664e+02	2.746e+00
1.676e+02	2.776e+00
1.688e+02	2.806e+00
1.702e+02	2.836e+00
1.716e+02	2.866e+00
1.719e+02	2.896e+00
1.728e+02	2.926e+00
1.740e+02	2.956e+00
1.751e+02	2.986e+00
1.766e+02	3.000e+00
1.809e+02	3.000e+00
1.809e+02	2.949e+00
1.806e+02	2.899e+00
1.804e+02	2.850e+00
1.804e+02	2.800e+00
1.805e+02	2.751e+00
1.798e+02	2.702e+00
1.797e+02	2.652e+00
1.796e+02	2.603e+00
1.794e+02	2.555e+00
1.789e+02	2.507e+00
1.787e+02	2.459e+00
1.787e+02	2.410e+00
1.783e+02	2.362e+00
1.775e+02	2.313e+00
1.776e+02	2.263e+00
1.778e+02	2.215e+00
1.773e+02	2.166e+00
1.774e+02	2.117e+00
1.772e+02	2.068e+00
1.771e+02	2.019e+00
1.769e+02	1.969e+00
1.763e+02	1.920e+00
1.762e+02	1.872e+00
1.761e+02	1.823e+00
1.761e+02	1.774e+00
1.754e+02	1.726e+00
1.753e+02	1.677e+00
1.748e+02	1.628e+00
1.748e+02	1.579e+00
1.746e+02	1.530e+00
1.742e+02	1.482e+00
1.737e+02	1.433e+00
1.733e+02	1.384e+00
1.735e+02	1.335e+00
1.733e+02	1.286e+00
1.728e+02	1.238e+00
1.724e+02	1.188e+00
1.722e+02	1.140e+00
1.716e+02	1.090e+00
1.716e+02	1.042e+00
1.712e+02	9.935e-01
1.711e+02	9.440e-01
1.707e+02	8.951e-01
1.701e+02	8.462e-01
1.700e+02	7.975e-01
1.695e+02	7.477e-01
1.692e+02	6.988e-01
1.691e+02	6.504e-01
1.684e+02	6.017e-01
1.682e+02	5.522e-01
1.679e+02	5.035e-01
1.676e+02	4.540e-01
1.667e+02	4.054e-01
1.665e+02	3.562e-01
1.659e+02	3.072e-01
1.659e+02	2.997e-01
1.667e+02	2.997e-01
1.667e+02	2.519e-01
1.663e+02	2.035e-01
1.658e+02	1.547e-01
1.649e+02	1.045e-01
1.640e+02	5.534e-02
1.631e+02	7.305e-03
1.627e+02	0.000e+00
