# Depth(nm)	Force(mN)
3.044e+00	9.073e-03
6.026e+00	4.317e-02
1.167e+01	7.917e-02
1.728e+01	1.141e-01
2.143e+01	1.496e-01
2.542e+01	1.880e-01
3.012e+01	2.228e-01
3.281e+01	2.575e-01
3.652e+01	2.926e-01
4.071e+01	3.276e-01
4.326e+01	3.626e-01
4.629e+01	3.974e-01
4.912e+01	4.337e-01
5.528e+01	4.706e-01
5.935e+01	5.051e-01
6.225e+01	5.416e-01
6.484e+01	5.767e-01
6.937e+01	6.114e-01
7.258e+01	6.467e-01
7.401e+01	6.815e-01
7.636e+01	7.166e-01
7.912e+01	7.514e-01
8.217e+01	7.872e-01
8.403e+01	8.230e-01
8.685e+01	8.581e-01
8.847e+01	8.929e-01
9.044e+01	9.283e-01
9.354e+01	9.631e-01
9.511e+01	9.986e-01
9.762e+01	1.034e+00
9.992e+01	1.071e+00
1.024e+02	1.105e+00
1.047e+02	1.141e+00
1.072e+02	1.176e+00
1.090e+02	1.211e+00
1.105e+02	1.247e+00
1.125e+02	1.283e+00
1.149e+02	1.318e+00
1.164e+02	1.353e+00
1.190e+02	1.388e+00
1.210e+02	1.423e+00
1.232e+02	1.458e+00
1.254e+02	1.493e+00
1.279e+02	1.528e+00
1.295e+02	1.563e+00
1.324e+02	1.598e+00
1.338e+02	1.634e+00
1.340e+02	1.669e+00
1.360e+02	1.703e+00
1.372e+02	1.738e+00
1.397e+02	1.774e+00
1.415e+02	1.808e+00
1.419e+02	1.843e+00
1.433e+02	1.878e+00
1.445e+02	1.913e+00
1.453e+02	1.948e+00
1.469e+02	1.984e+00
1.482e+02	2.018e+00
1.497e+02	2.054e+00
1.514e+02	2.088e+00
1.537e+02	2.124e+00
1.563e+02	2.159e+00
1.588e+02	2.193e+00
1.615e+02	2.228e+00
1.630e+02	2.263e+00
1.637e+02	2.298e+00
1.643e+02	2.334e+00
1.645e+02	2.369e+00
1.669e+02	2.404e+00
1.688e+02	2.440e+00
1.708e+02	2.475e+00
1.729e+02	2.510e+00
1.746e+02	2.545e+00
1.756e+02	2.580e+00
1.765e+02	2.615e+00
1.773e+02	2.650e+00
1.782e+02	2.685e+00
1.793e+02	2.720e+00
1.813e+02	2.754e+00
1.822e+02	2.790e+00
1.839e+02	2.825e+00
1.844e+02	2.860e+00
1.855e+02	2.896e+00
1.867e+02	2.931e+00
1.882e+02	2.965e+00
1.897e+02	3.000e+00
1.906e+02	3.035e+00
1.911e+02	3.070e+00
1.920e+02	3.106e+00
1.943e+02	3.140e+00
1.973e+02	3.175e+00
1.981e+02	3.210e+00
1.996e+02	3.245e+00
2.000e+02	3.280e+00
2.004e+02	3.315e+00
2.013e+02	3.350e+00
2.026e+02	3.385e+00
2.039e+02	3.420e+00
2.054e+02	3.455e+00
2.065e+02	3.490e+00
2.068e+02	3.500e+00
2.089e+02	3.500e+00
2.087e+02	3.442e+00
2.082e+02	3.384e+00
2.083e+02	3.326e+00
2.080e+02	3.269e+00
2.081e+02	3.212e+00
2.080e+02	3.154e+00
2.076e+02	3.096e+00
2.074e+02	3.039e+00
2.070e+02	2.982e+00
2.071e+02	2.925e+00
2.065e+02	2.869e+00
2.062e+02	2.812e+00
2.061e+02	2.756e+00
2.063e+02	2.699e+00
2.059e+02	2.641e+00
2.054e+02	2.583e+00
2.053e+02	2.526e+00
2.048e+02	2.469e+00
2.048e+02	2.412e+00
2.045e+02	2.356e+00
2.044e+02	2.299e+00
2.041e+02	2.242e+00
2.040e+02	2.185e+00
2.037e+02	2.128e+00
2.030e+02	2.071e+00
2.028e+02	2.014e+00
2.027e+02	1.955e+00
2.025e+02	1.898e+00
2.024e+02	1.841e+00
2.019e+02	1.784e+00
2.015e+02	1.727e+00
2.010e+02	1.671e+00
2.009e+02	1.614e+00
2.007e+02	1.557e+00
2.003e+02	1.500e+00
2.001e+02	1.443e+00
1.997e+02	1.386e+00
1.993e+02	1.329e+00
1.988e+02	1.273e+00
1.984e+02	1.216e+00
1.982e+02	1.159e+00
1.980e+02	1.103e+00
1.977e+02	1.046e+00
1.973e+02	9.888e-01
1.967e+02	9.321e-01
1.968e+02	8.756e-01
1.965e+02	8.188e-01
1.955e+02	7.623e-01
1.955e+02	7.057e-01
1.954e+02	6.483e-01
1.950e+02	5.916e-01
1.944e+02	5.342e-01
1.940e+02	4.775e-01
1.933e+02	4.209e-01
1.930e+02	3.640e-01
1.928e+02	3.491e-01
1.919e+02	3.491e-01
1.915e+02	2.928e-01
1.908e+02	2.352e-01
1.907e+02	1.780e-01
1.902e+02	1.208e-01
1.889e+02	6.515e-02
1.868e+02	7.979e-03
1.876e+02	0.000e+00
