# Depth(nm)	Force(mN)
2.704e+00	9.186e-03
4.353e+00	2.884e-02
8.439e+00	4.925e-02
1.205e+01	6.893e-02
1.475e+01	8.894e-02
1.761e+01	1.082e-01
2.019e+01	1.311e-01
2.300e+01	1.510e-01
2.558e+01	1.711e-01
2.907e+01	1.912e-01
3.145e+01	2.110e-01
3.279e+01	2.315e-01
3.472e+01	2.514e-01
3.699e+01	2.711e-01
4.035e+01	2.910e-01
4.171e+01	3.112e-01
4.426e+01	3.310e-01
4.653e+01	3.510e-01
4.780e+01	3.711e-01
4.964e+01	3.911e-01
5.258e+01	4.110e-01
5.542e+01	4.317e-01
5.748e+01	4.517e-01
6.003e+01	4.718e-01
6.235e+01	4.916e-01
6.386e+01	5.121e-01
6.404e+01	5.329e-01
6.460e+01	5.529e-01
6.710e+01	5.727e-01
6.921e+01	5.929e-01
7.109e+01	6.129e-01
7.219e+01	6.332e-01
7.304e+01	6.538e-01
7.410e+01	6.741e-01
7.631e+01	6.939e-01
7.786e+01	7.139e-01
7.820e+01	7.343e-01
7.892e+01	7.541e-01
8.151e+01	7.739e-01
8.383e+01	7.938e-01
8.723e+01	8.140e-01
8.930e+01	8.339e-01
9.010e+01	8.541e-01
9.100e+01	8.741e-01
9.129e+01	8.941e-01
9.252e+01	9.139e-01
9.274e+01	9.337e-01
9.328e+01	9.538e-01
9.527e+01	9.737e-01
9.644e+01	9.937e-01
9.653e+01	1.014e+00
9.691e+01	1.035e+00
9.738e+01	1.054e+00
9.882e+01	1.074e+00
1.000e+02	1.094e+00
1.015e+02	1.114e+00
1.029e+02	1.134e+00
1.039e+02	1.155e+00
1.056e+02	1.174e+00
1.062e+02	1.195e+00
1.072e+02	1.215e+00
1.077e+02	1.235e+00
1.074e+02	1.255e+00
1.098e+02	1.275e+00
1.110e+02	1.295e+00
1.124e+02	1.315e+00
1.134e+02	1.335e+00
1.143e+02	1.356e+00
1.157e+02	1.376e+00
1.168e+02	1.396e+00
1.176e+02	1.416e+00
1.176e+02	1.436e+00
1.188e+02	1.456e+00
1.197e+02	1.476e+00
1.212e+02	1.496e+00
1.238e+02	1.515e+00
1.256e+02	1.535e+00
1.266e+02	1.555e+00
1.274e+02	1.575e+00
1.284e+02	1.595e+00
1.289e+02	1.615e+00
1.298e+02	1.635e+00
1.309e+02	1.655e+00
1.326e+02	1.675e+00
1.345e+02	1.695e+00
1.353e+02	1.715e+00
1.366e+02	1.735e+00
1.376e+02	1.755e+00
1.385e+02	1.775e+00
1.397e+02	1.795e+00
1.413e+02	1.815e+00
1.419e+02	1.835e+00
1.425e+02	1.855e+00
1.437e+02	1.875e+00
1.451e+02	1.895e+00
1.459e+02	1.915e+00
1.470e+02	1.935e+00
1.474e+02	1.955e+00
1.484e+02	1.975e+00
1.489e+02	1.995e+00
1.490e+02	2.000e+00
1.542e+02	2.000e+00
1.543e+02	1.967e+00
1.549e+02	1.933e+00
1.543e+02	1.900e+00
1.542e+02	1.868e+00
1.543e+02	1.835e+00
1.541e+02	1.803e+00
1.542e+02	1.770e+00
1.540e+02	1.737e+00
1.540e+02	1.704e+00
1.535e+02	1.672e+00
1.532e+02	1.639e+00
1.530e+02	1.607e+00
1.527e+02	1.574e+00
1.526e+02	1.541e+00
1.524e+02	1.509e+00
1.524e+02	1.476e+00
1.522e+02	1.443e+00
1.520e+02	1.410e+00
1.515e+02	1.378e+00
1.516e+02	1.345e+00
1.515e+02	1.313e+00
1.513e+02	1.280e+00
1.509e+02	1.247e+00
1.505e+02	1.215e+00
1.507e+02	1.182e+00
1.500e+02	1.150e+00
1.498e+02	1.117e+00
1.490e+02	1.085e+00
1.497e+02	1.053e+00
1.493e+02	1.020e+00
1.491e+02	9.871e-01
1.489e+02	9.546e-01
1.486e+02	9.221e-01
1.484e+02	8.899e-01
1.480e+02	8.576e-01
1.476e+02	8.247e-01
1.476e+02	7.921e-01
1.471e+02	7.599e-01
1.471e+02	7.271e-01
1.467e+02	6.949e-01
1.467e+02	6.622e-01
1.464e+02	6.301e-01
1.457e+02	5.974e-01
1.458e+02	5.644e-01
1.457e+02	5.316e-01
1.450e+02	4.993e-01
1.450e+02	4.670e-01
1.447e+02	4.348e-01
1.443e+02	4.019e-01
1.439e+02	3.693e-01
1.434e+02	3.368e-01
1.435e+02	3.043e-01
1.431e+02	2.719e-01
1.425e+02	2.397e-01
1.418e+02	2.072e-01
1.420e+02	1.991e-01
1.391e+02	1.991e-01
1.380e+02	1.664e-01
1.386e+02	1.339e-01
1.384e+02	1.017e-01
1.379e+02	6.861e-02
1.373e+02	3.592e-02
1.367e+02	2.687e-03
1.358e+02	0.000e+00
