# Depth(nm)	Force(mN)
3.068e+00	1.010e-02
3.682e+00	2.781e-02
4.973e+00	4.531e-02
7.630e+00	6.290e-02
1.036e+01	8.029e-02
1.382e+01	9.781e-02
1.733e+01	1.157e-01
1.930e+01	1.330e-01
2.231e+01	1.504e-01
2.413e+01	1.677e-01
2.669e+01	1.854e-01
2.880e+01	2.030e-01
3.175e+01	2.204e-01
3.458e+01	2.380e-01
3.658e+01	2.557e-01
3.773e+01	2.733e-01
3.944e+01	2.908e-01
4.118e+01	3.082e-01
4.318e+01	3.255e-01
4.333e+01	3.431e-01
4.594e+01	3.619e-01
4.896e+01	3.796e-01
5.333e+01	3.977e-01
5.640e+01	4.152e-01
5.922e+01	4.331e-01
6.175e+01	4.505e-01
6.489e+01	4.679e-01
6.579e+01	4.852e-01
6.600e+01	5.031e-01
6.718e+01	5.215e-01
6.846e+01	5.392e-01
6.973e+01	5.568e-01
7.056e+01	5.745e-01
7.196e+01	5.918e-01
7.311e+01	6.092e-01
7.438e+01	6.269e-01
7.551e+01	6.443e-01
7.588e+01	6.618e-01
7.681e+01	6.794e-01
7.773e+01	6.968e-01
7.931e+01	7.144e-01
8.186e+01	7.322e-01
8.386e+01	7.500e-01
8.511e+01	7.673e-01
8.571e+01	7.846e-01
8.695e+01	8.020e-01
8.916e+01	8.198e-01
9.019e+01	8.371e-01
9.011e+01	8.544e-01
9.053e+01	8.719e-01
9.048e+01	8.894e-01
9.226e+01	9.072e-01
9.361e+01	9.248e-01
9.401e+01	9.422e-01
9.574e+01	9.596e-01
9.843e+01	9.773e-01
9.987e+01	9.945e-01
1.011e+02	1.012e+00
1.018e+02	1.030e+00
1.029e+02	1.048e+00
1.035e+02	1.066e+00
1.034e+02	1.083e+00
1.042e+02	1.100e+00
1.062e+02	1.118e+00
1.079e+02	1.135e+00
1.090e+02	1.153e+00
1.113e+02	1.170e+00
1.124e+02	1.188e+00
1.130e+02	1.206e+00
1.140e+02	1.223e+00
1.139e+02	1.240e+00
1.146e+02	1.258e+00
1.160e+02	1.275e+00
1.174e+02	1.293e+00
1.178e+02	1.310e+00
1.191e+02	1.328e+00
1.204e+02	1.345e+00
1.214e+02	1.363e+00
1.232e+02	1.380e+00
1.233e+02	1.398e+00
1.247e+02	1.416e+00
1.266e+02	1.433e+00
1.273e+02	1.450e+00
1.285e+02	1.468e+00
1.299e+02	1.485e+00
1.307e+02	1.503e+00
1.311e+02	1.521e+00
1.316e+02	1.538e+00
1.322e+02	1.555e+00
1.323e+02	1.573e+00
1.328e+02	1.591e+00
1.340e+02	1.608e+00
1.352e+02	1.626e+00
1.368e+02	1.643e+00
1.391e+02	1.661e+00
1.400e+02	1.678e+00
1.408e+02	1.695e+00
1.407e+02	1.713e+00
1.414e+02	1.730e+00
1.420e+02	1.748e+00
1.424e+02	1.750e+00
1.468e+02	1.750e+00
1.467e+02	1.721e+00
1.467e+02	1.692e+00
1.467e+02	1.664e+00
1.465e+02	1.635e+00
1.462e+02	1.607e+00
1.461e+02	1.578e+00
1.458e+02	1.550e+00
1.446e+02	1.521e+00
1.456e+02	1.493e+00
1.453e+02	1.464e+00
1.453e+02	1.436e+00
1.451e+02	1.408e+00
1.450e+02	1.379e+00
1.446e+02	1.350e+00
1.443e+02	1.322e+00
1.443e+02	1.293e+00
1.442e+02	1.265e+00
1.438e+02	1.236e+00
1.435e+02	1.207e+00
1.434e+02	1.179e+00
1.433e+02	1.151e+00
1.433e+02	1.122e+00
1.429e+02	1.094e+00
1.429e+02	1.065e+00
1.428e+02	1.037e+00
1.425e+02	1.008e+00
1.420e+02	9.795e-01
1.421e+02	9.508e-01
1.420e+02	9.225e-01
1.421e+02	8.943e-01
1.415e+02	8.654e-01
1.413e+02	8.369e-01
1.409e+02	8.082e-01
1.412e+02	7.799e-01
1.408e+02	7.512e-01
1.407e+02	7.233e-01
1.406e+02	6.948e-01
1.398e+02	6.665e-01
1.395e+02	6.378e-01
1.392e+02	6.091e-01
1.389e+02	5.807e-01
1.388e+02	5.523e-01
1.384e+02	5.237e-01
1.383e+02	4.948e-01
1.381e+02	4.664e-01
1.381e+02	4.381e-01
1.375e+02	4.097e-01
1.375e+02	3.814e-01
1.369e+02	3.525e-01
1.367e+02	3.239e-01
1.364e+02	2.947e-01
1.357e+02	2.662e-01
1.352e+02	2.377e-01
1.349e+02	2.094e-01
1.345e+02	1.807e-01
1.340e+02	1.740e-01
1.324e+02	1.740e-01
1.321e+02	1.458e-01
1.317e+02	1.173e-01
1.309e+02	8.901e-02
1.303e+02	6.053e-02
1.295e+02	3.204e-02
1.268e+02	3.454e-03
1.273e+02	0.000e+00
