# Depth(nm)	Force(mN)
2.659e+00	9.098e-03
6.795e+00	5.455e-02
1.416e+01	1.000e-01
2.032e+01	1.465e-01
2.619e+01	1.917e-01
3.229e+01	2.366e-01
3.784e+01	2.860e-01
4.324e+01	3.313e-01
4.952e+01	3.775e-01
5.343e+01	4.223e-01
5.781e+01	4.696e-01
6.198e+01	5.155e-01
6.571e+01	5.618e-01
6.925e+01	6.069e-01
7.272e+01	6.525e-01
7.692e+01	6.976e-01
8.009e+01	7.428e-01
8.489e+01	7.874e-01
8.897e+01	8.325e-01
8.979e+01	8.793e-01
9.273e+01	9.249e-01
9.635e+01	9.712e-01
1.003e+02	1.017e+00
1.034e+02	1.063e+00
1.065e+02	1.109e+00
1.106e+02	1.153e+00
1.141e+02	1.199e+00
1.149e+02	1.244e+00
1.164e+02	1.289e+00
1.170e+02	1.334e+00
1.184e+02	1.379e+00
1.225e+02	1.424e+00
1.244e+02	1.469e+00
1.276e+02	1.514e+00
1.306e+02	1.559e+00
1.336e+02	1.604e+00
1.383e+02	1.649e+00
1.404e+02	1.694e+00
1.419e+02	1.740e+00
1.449e+02	1.785e+00
1.474e+02	1.831e+00
1.488e+02	1.876e+00
1.491e+02	1.922e+00
1.497e+02	1.966e+00
1.510e+02	2.011e+00
1.530e+02	2.059e+00
1.551e+02	2.104e+00
1.579e+02	2.149e+00
1.592e+02	2.193e+00
1.617e+02	2.239e+00
1.635e+02	2.284e+00
1.646e+02	2.329e+00
1.672e+02	2.373e+00
1.685e+02	2.419e+00
1.693e+02	2.464e+00
1.701e+02	2.509e+00
1.713e+02	2.554e+00
1.725e+02	2.599e+00
1.731e+02	2.644e+00
1.742e+02	2.690e+00
1.748e+02	2.736e+00
1.755e+02	2.781e+00
1.769e+02	2.825e+00
1.780e+02	2.870e+00
1.791e+02	2.917e+00
1.805e+02	2.961e+00
1.818e+02	3.006e+00
1.825e+02	3.052e+00
1.833e+02	3.096e+00
1.840e+02	3.141e+00
1.850e+02	3.185e+00
1.854e+02	3.230e+00
1.867e+02	3.275e+00
1.880e+02	3.322e+00
1.889e+02	3.366e+00
1.895e+02	3.411e+00
1.899e+02	3.456e+00
1.909e+02	3.501e+00
1.914e+02	3.545e+00
1.921e+02	3.590e+00
1.932e+02	3.636e+00
1.935e+02	3.681e+00
1.942e+02	3.726e+00
1.953e+02	3.770e+00
1.957e+02	3.816e+00
1.967e+02	3.860e+00
1.973e+02	3.905e+00
1.977e+02	3.951e+00
1.985e+02	3.996e+00
1.990e+02	4.041e+00
1.999e+02	4.086e+00
2.007e+02	4.131e+00
2.015e+02	4.178e+00
2.024e+02	4.224e+00
2.030e+02	4.269e+00
2.036e+02	4.315e+00
2.042e+02	4.360e+00
2.044e+02	4.405e+00
2.056e+02	4.450e+00
2.062e+02	4.494e+00
2.069e+02	4.500e+00
2.099e+02	4.500e+00
2.102e+02	4.425e+00
2.100e+02	4.350e+00
2.099e+02	4.277e+00
2.095e+02	4.204e+00
2.096e+02	4.131e+00
2.094e+02	4.057e+00
2.090e+02	3.983e+00
2.088e+02	3.911e+00
2.083e+02	3.837e+00
2.084e+02	3.764e+00
2.078e+02	3.692e+00
2.079e+02	3.619e+00
2.074e+02	3.546e+00
2.074e+02	3.473e+00
2.074e+02	3.401e+00
2.064e+02	3.327e+00
2.063e+02	3.254e+00
2.063e+02	3.180e+00
2.059e+02	3.106e+00
2.057e+02	3.033e+00
2.055e+02	2.961e+00
2.051e+02	2.888e+00
2.049e+02	2.816e+00
2.049e+02	2.742e+00
2.042e+02	2.669e+00
2.040e+02	2.595e+00
2.040e+02	2.522e+00
2.036e+02	2.449e+00
2.032e+02	2.375e+00
2.028e+02	2.302e+00
2.024e+02	2.228e+00
2.024e+02	2.155e+00
2.024e+02	2.081e+00
2.019e+02	2.006e+00
2.015e+02	1.932e+00
2.008e+02	1.859e+00
2.011e+02	1.786e+00
2.007e+02	1.712e+00
2.004e+02	1.639e+00
1.999e+02	1.566e+00
2.000e+02	1.493e+00
1.992e+02	1.418e+00
1.990e+02	1.343e+00
1.989e+02	1.270e+00
1.983e+02	1.196e+00
1.977e+02	1.122e+00
1.970e+02	1.050e+00
1.969e+02	9.766e-01
1.965e+02	9.037e-01
1.964e+02	8.309e-01
1.959e+02	7.574e-01
1.950e+02	6.828e-01
1.945e+02	6.092e-01
1.941e+02	5.360e-01
1.934e+02	4.624e-01
1.929e+02	4.491e-01
1.915e+02	4.491e-01
1.918e+02	3.760e-01
1.907e+02	3.034e-01
1.898e+02	2.310e-01
1.895e+02	1.580e-01
1.884e+02	8.534e-02
1.861e+02	1.011e-02
1.847e+02	0.000e+00
