# Depth(nm)	Force(mN)
3.630e+00	9.083e-03
8.694e+00	5.847e-02
1.686e+01	1.082e-01
2.257e+01	1.594e-01
2.805e+01	2.097e-01
3.378e+01	2.641e-01
3.878e+01	3.137e-01
4.416e+01	3.628e-01
4.829e+01	4.129e-01
5.300e+01	4.646e-01
5.876e+01	5.142e-01
6.286e+01	5.663e-01
6.680e+01	6.165e-01
7.002e+01	6.666e-01
7.369e+01	7.161e-01
7.731e+01	7.660e-01
8.136e+01	8.163e-01
8.432e+01	8.663e-01
8.822e+01	9.161e-01
9.056e+01	9.671e-01
9.431e+01	1.017e+00
9.800e+01	1.068e+00
1.014e+02	1.119e+00
1.062e+02	1.169e+00
1.085e+02	1.219e+00
1.109e+02	1.269e+00
1.130e+02	1.321e+00
1.159e+02	1.371e+00
1.194e+02	1.421e+00
1.220e+02	1.471e+00
1.248e+02	1.522e+00
1.273e+02	1.571e+00
1.298e+02	1.621e+00
1.331e+02	1.671e+00
1.358e+02	1.722e+00
1.374e+02	1.771e+00
1.399e+02	1.821e+00
1.434e+02	1.871e+00
1.461e+02	1.921e+00
1.484e+02	1.971e+00
1.510e+02	2.020e+00
1.533e+02	2.070e+00
1.567e+02	2.121e+00
1.601e+02	2.171e+00
1.639e+02	2.222e+00
1.662e+02	2.272e+00
1.677e+02	2.321e+00
1.684e+02	2.371e+00
1.697e+02	2.422e+00
1.731e+02	2.472e+00
1.761e+02	2.522e+00
1.787e+02	2.571e+00
1.811e+02	2.621e+00
1.827e+02	2.672e+00
1.834e+02	2.723e+00
1.841e+02	2.772e+00
1.859e+02	2.822e+00
1.886e+02	2.872e+00
1.911e+02	2.921e+00
1.939e+02	2.971e+00
1.955e+02	3.021e+00
1.970e+02	3.072e+00
1.992e+02	3.122e+00
2.016e+02	3.171e+00
2.033e+02	3.221e+00
2.055e+02	3.271e+00
2.074e+02	3.321e+00
2.090e+02	3.371e+00
2.124e+02	3.421e+00
2.149e+02	3.471e+00
2.167e+02	3.522e+00
2.186e+02	3.571e+00
2.203e+02	3.621e+00
2.211e+02	3.671e+00
2.226e+02	3.721e+00
2.244e+02	3.771e+00
2.260e+02	3.821e+00
2.272e+02	3.871e+00
2.288e+02	3.921e+00
2.304e+02	3.971e+00
2.318e+02	4.021e+00
2.347e+02	4.071e+00
2.360e+02	4.121e+00
2.379e+02	4.173e+00
2.399e+02	4.222e+00
2.419e+02	4.272e+00
2.433e+02	4.322e+00
2.457e+02	4.372e+00
2.471e+02	4.422e+00
2.481e+02	4.472e+00
2.502e+02	4.522e+00
2.519e+02	4.572e+00
2.535e+02	4.622e+00
2.547e+02	4.672e+00
2.563e+02	4.722e+00
2.581e+02	4.772e+00
2.595e+02	4.822e+00
2.605e+02	4.873e+00
2.622e+02	4.923e+00
2.635e+02	4.973e+00
2.648e+02	5.022e+00
2.669e+02	5.072e+00
2.683e+02	5.122e+00
2.697e+02	5.174e+00
2.712e+02	5.224e+00
2.725e+02	5.273e+00
2.741e+02	5.323e+00
2.763e+02	5.374e+00
2.773e+02	5.426e+00
2.795e+02	5.476e+00
2.811e+02	5.527e+00
2.827e+02	5.578e+00
2.838e+02	5.628e+00
2.846e+02	5.678e+00
2.866e+02	5.728e+00
2.878e+02	5.778e+00
2.894e+02	5.828e+00
2.912e+02	5.879e+00
2.922e+02	5.930e+00
2.943e+02	5.980e+00
2.959e+02	6.029e+00
2.976e+02	6.079e+00
2.989e+02	6.129e+00
3.004e+02	6.180e+00
3.016e+02	6.229e+00
3.029e+02	6.280e+00
3.050e+02	6.331e+00
3.071e+02	6.381e+00
3.074e+02	6.431e+00
