# Depth(nm)	Force(mN)
2.665e+00	9.188e-03
3.733e+00	2.913e-02
5.757e+00	4.979e-02
7.038e+00	7.071e-02
9.413e+00	9.093e-02
1.429e+01	1.115e-01
1.878e+01	1.317e-01
2.167e+01	1.525e-01
2.428e+01	1.727e-01
2.691e+01	1.927e-01
2.863e+01	2.126e-01
3.072e+01	2.327e-01
3.345e+01	2.527e-01
3.644e+01	2.727e-01
3.758e+01	2.927e-01
3.898e+01	3.126e-01
4.120e+01	3.326e-01
4.371e+01	3.527e-01
4.656e+01	3.726e-01
4.865e+01	3.933e-01
5.047e+01	4.136e-01
5.123e+01	4.343e-01
5.317e+01	4.545e-01
5.519e+01	4.747e-01
5.714e+01	4.947e-01
5.887e+01	5.147e-01
6.104e+01	5.357e-01
6.352e+01	5.559e-01
6.714e+01	5.758e-01
6.892e+01	5.956e-01
7.034e+01	6.157e-01
7.099e+01	6.356e-01
7.199e+01	6.556e-01
7.346e+01	6.759e-01
7.570e+01	6.957e-01
7.895e+01	7.156e-01
8.161e+01	7.355e-01
8.357e+01	7.556e-01
8.503e+01	7.757e-01
8.659e+01	7.956e-01
8.691e+01	8.160e-01
8.719e+01	8.361e-01
8.878e+01	8.560e-01
8.977e+01	8.760e-01
9.127e+01	8.959e-01
9.171e+01	9.157e-01
9.279e+01	9.357e-01
9.407e+01	9.559e-01
9.606e+01	9.760e-01
9.676e+01	9.961e-01
9.844e+01	1.017e+00
9.981e+01	1.037e+00
1.014e+02	1.057e+00
1.030e+02	1.078e+00
1.035e+02	1.098e+00
1.046e+02	1.117e+00
1.063e+02	1.137e+00
1.078e+02	1.157e+00
1.085e+02	1.178e+00
1.087e+02	1.197e+00
1.109e+02	1.217e+00
1.129e+02	1.237e+00
1.134e+02	1.258e+00
1.144e+02	1.277e+00
1.151e+02	1.297e+00
1.162e+02	1.317e+00
1.168e+02	1.337e+00
1.168e+02	1.358e+00
1.174e+02	1.378e+00
1.186e+02	1.398e+00
1.203e+02	1.418e+00
1.216e+02	1.438e+00
1.233e+02	1.458e+00
1.242e+02	1.478e+00
1.253e+02	1.498e+00
1.265e+02	1.518e+00
1.276e+02	1.538e+00
1.279e+02	1.558e+00
1.279e+02	1.578e+00
1.293e+02	1.598e+00
1.312e+02	1.618e+00
1.320e+02	1.638e+00
1.326e+02	1.659e+00
1.329e+02	1.679e+00
1.333e+02	1.700e+00
1.345e+02	1.720e+00
1.353e+02	1.740e+00
1.366e+02	1.760e+00
1.377e+02	1.780e+00
1.384e+02	1.800e+00
1.391e+02	1.820e+00
1.413e+02	1.840e+00
1.435e+02	1.861e+00
1.442e+02	1.881e+00
1.460e+02	1.901e+00
1.472e+02	1.920e+00
1.478e+02	1.941e+00
1.480e+02	1.961e+00
1.488e+02	1.981e+00
1.490e+02	2.000e+00
1.561e+02	2.000e+00
1.560e+02	1.967e+00
1.558e+02	1.934e+00
1.553e+02	1.901e+00
1.553e+02	1.868e+00
1.553e+02	1.835e+00
1.551e+02	1.802e+00
1.550e+02	1.770e+00
1.547e+02	1.737e+00
1.547e+02	1.705e+00
1.545e+02	1.673e+00
1.541e+02	1.640e+00
1.538e+02	1.607e+00
1.536e+02	1.574e+00
1.524e+02	1.542e+00
1.537e+02	1.510e+00
1.537e+02	1.478e+00
1.531e+02	1.445e+00
1.530e+02	1.412e+00
1.526e+02	1.380e+00
1.524e+02	1.347e+00
1.523e+02	1.314e+00
1.520e+02	1.281e+00
1.521e+02	1.249e+00
1.519e+02	1.216e+00
1.512e+02	1.183e+00
1.509e+02	1.151e+00
1.508e+02	1.118e+00
1.507e+02	1.085e+00
1.501e+02	1.052e+00
1.501e+02	1.019e+00
1.497e+02	9.866e-01
1.496e+02	9.542e-01
1.497e+02	9.218e-01
1.490e+02	8.894e-01
1.489e+02	8.570e-01
1.489e+02	8.238e-01
1.484e+02	7.905e-01
1.485e+02	7.582e-01
1.478e+02	7.258e-01
1.478e+02	6.926e-01
1.479e+02	6.604e-01
1.475e+02	6.275e-01
1.467e+02	5.949e-01
1.466e+02	5.625e-01
1.463e+02	5.296e-01
1.460e+02	4.972e-01
1.457e+02	4.648e-01
1.451e+02	4.323e-01
1.453e+02	3.996e-01
1.444e+02	3.668e-01
1.444e+02	3.341e-01
1.442e+02	3.016e-01
1.434e+02	2.690e-01
1.429e+02	2.340e-01
1.419e+02	2.015e-01
1.409e+02	1.991e-01
1.402e+02	1.991e-01
1.390e+02	1.663e-01
1.392e+02	1.340e-01
1.395e+02	1.017e-01
1.387e+02	6.886e-02
1.377e+02	3.607e-02
1.342e+02	3.695e-03
1.321e+02	0.000e+00
