# Depth(nm)	Force(mN)
3.410e+00	1.010e-02
4.527e+00	2.260e-02
5.190e+00	3.526e-02
6.233e+00	4.805e-02
6.884e+00	6.098e-02
9.082e+00	7.336e-02
1.308e+01	8.575e-02
1.506e+01	9.820e-02
1.846e+01	1.115e-01
2.039e+01	1.238e-01
2.185e+01	1.362e-01
2.364e+01	1.486e-01
2.477e+01	1.611e-01
2.619e+01	1.736e-01
2.948e+01	1.861e-01
3.228e+01	1.986e-01
3.497e+01	2.113e-01
3.706e+01	2.237e-01
3.891e+01	2.361e-01
4.026e+01	2.490e-01
4.065e+01	2.613e-01
4.228e+01	2.738e-01
4.381e+01	2.863e-01
4.464e+01	2.987e-01
4.535e+01	3.115e-01
4.570e+01	3.238e-01
4.741e+01	3.364e-01
4.910e+01	3.488e-01
5.001e+01	3.613e-01
5.176e+01	3.737e-01
5.350e+01	3.862e-01
5.585e+01	3.988e-01
5.680e+01	4.112e-01
5.807e+01	4.243e-01
5.930e+01	4.368e-01
6.005e+01	4.493e-01
6.044e+01	4.618e-01
6.253e+01	4.742e-01
6.523e+01	4.868e-01
6.654e+01	4.993e-01
6.829e+01	5.119e-01
6.943e+01	5.249e-01
6.971e+01	5.374e-01
6.995e+01	5.501e-01
6.986e+01	5.628e-01
7.029e+01	5.752e-01
7.098e+01	5.876e-01
7.289e+01	6.004e-01
7.302e+01	6.130e-01
7.401e+01	6.254e-01
7.513e+01	6.382e-01
7.695e+01	6.506e-01
7.995e+01	6.633e-01
8.072e+01	6.758e-01
8.100e+01	6.882e-01
8.152e+01	7.006e-01
8.206e+01	7.130e-01
8.337e+01	7.256e-01
8.348e+01	7.380e-01
8.405e+01	7.506e-01
8.656e+01	7.630e-01
8.890e+01	7.755e-01
9.043e+01	7.881e-01
9.095e+01	8.006e-01
8.969e+01	8.135e-01
9.130e+01	8.259e-01
9.184e+01	8.385e-01
9.307e+01	8.511e-01
9.354e+01	8.638e-01
9.387e+01	8.762e-01
9.402e+01	8.886e-01
9.449e+01	9.014e-01
9.483e+01	9.139e-01
9.590e+01	9.266e-01
9.724e+01	9.394e-01
9.957e+01	9.519e-01
1.009e+02	9.644e-01
1.026e+02	9.770e-01
1.028e+02	9.896e-01
1.029e+02	1.002e+00
1.032e+02	1.014e+00
1.042e+02	1.027e+00
1.062e+02	1.040e+00
1.069e+02	1.052e+00
1.074e+02	1.065e+00
1.073e+02	1.077e+00
1.075e+02	1.090e+00
1.080e+02	1.102e+00
1.083e+02	1.115e+00
1.090e+02	1.127e+00
1.098e+02	1.140e+00
1.117e+02	1.152e+00
1.127e+02	1.165e+00
1.134e+02	1.177e+00
1.136e+02	1.190e+00
1.140e+02	1.202e+00
1.149e+02	1.215e+00
1.158e+02	1.227e+00
1.168e+02	1.240e+00
1.174e+02	1.250e+00
1.224e+02	1.250e+00
1.223e+02	1.229e+00
1.223e+02	1.209e+00
1.222e+02	1.189e+00
1.222e+02	1.168e+00
1.220e+02	1.148e+00
1.218e+02	1.127e+00
1.215e+02	1.107e+00
1.215e+02	1.087e+00
1.217e+02	1.066e+00
1.213e+02	1.046e+00
1.213e+02	1.026e+00
1.210e+02	1.006e+00
1.212e+02	9.855e-01
1.201e+02	9.650e-01
1.204e+02	9.446e-01
1.203e+02	9.244e-01
1.204e+02	9.037e-01
1.199e+02	8.829e-01
1.197e+02	8.625e-01
1.194e+02	8.416e-01
1.195e+02	8.214e-01
1.192e+02	8.011e-01
1.193e+02	7.807e-01
1.192e+02	7.605e-01
1.191e+02	7.401e-01
1.190e+02	7.196e-01
1.186e+02	6.994e-01
1.183e+02	6.789e-01
1.185e+02	6.579e-01
1.184e+02	6.372e-01
1.179e+02	6.170e-01
1.179e+02	5.964e-01
1.176e+02	5.756e-01
1.178e+02	5.552e-01
1.176e+02	5.348e-01
1.171e+02	5.145e-01
1.170e+02	4.944e-01
1.167e+02	4.739e-01
1.165e+02	4.537e-01
1.164e+02	4.329e-01
1.167e+02	4.126e-01
1.165e+02	3.919e-01
1.160e+02	3.714e-01
1.158e+02	3.508e-01
1.158e+02	3.304e-01
1.154e+02	3.103e-01
1.154e+02	2.902e-01
1.149e+02	2.699e-01
1.145e+02	2.496e-01
1.138e+02	2.295e-01
1.133e+02	2.094e-01
1.132e+02	1.890e-01
1.130e+02	1.687e-01
1.124e+02	1.484e-01
1.121e+02	1.280e-01
1.121e+02	1.240e-01
1.126e+02	1.240e-01
1.133e+02	1.036e-01
1.125e+02	8.287e-02
1.125e+02	6.259e-02
1.125e+02	4.211e-02
1.117e+02	2.180e-02
1.109e+02	1.438e-03
1.108e+02	0.000e+00
