# Depth(nm)	Force(mN)
1.810e+00	1.009e-02
3.366e+00	2.524e-02
4.782e+00	4.053e-02
6.863e+00	5.565e-02
8.299e+00	7.064e-02
1.011e+01	8.559e-02
1.190e+01	1.005e-01
1.353e+01	1.163e-01
1.483e+01	1.314e-01
1.699e+01	1.464e-01
1.882e+01	1.614e-01
2.037e+01	1.764e-01
2.232e+01	1.917e-01
2.420e+01	2.070e-01
2.545e+01	2.219e-01
2.674e+01	2.368e-01
2.807e+01	2.518e-01
2.967e+01	2.667e-01
3.100e+01	2.821e-01
3.146e+01	2.970e-01
3.473e+01	3.122e-01
3.562e+01	3.272e-01
3.649e+01	3.421e-01
3.713e+01	3.572e-01
3.765e+01	3.721e-01
3.861e+01	3.871e-01
4.033e+01	4.021e-01
4.154e+01	4.176e-01
4.217e+01	4.326e-01
4.400e+01	4.477e-01
4.597e+01	4.629e-01
4.689e+01	4.779e-01
4.750e+01	4.929e-01
4.839e+01	5.080e-01
4.891e+01	5.236e-01
5.072e+01	5.387e-01
5.315e+01	5.536e-01
5.464e+01	5.686e-01
5.634e+01	5.836e-01
5.769e+01	5.987e-01
5.787e+01	6.136e-01
5.874e+01	6.288e-01
6.056e+01	6.438e-01
6.127e+01	6.589e-01
6.133e+01	6.737e-01
6.142e+01	6.886e-01
6.180e+01	7.042e-01
6.347e+01	7.198e-01
6.579e+01	7.347e-01
6.715e+01	7.497e-01
6.926e+01	7.647e-01
7.007e+01	7.796e-01
7.041e+01	7.944e-01
7.036e+01	8.095e-01
7.089e+01	8.244e-01
7.186e+01	8.397e-01
7.352e+01	8.548e-01
7.487e+01	8.698e-01
7.512e+01	8.849e-01
7.542e+01	8.997e-01
7.667e+01	9.147e-01
7.696e+01	9.298e-01
7.716e+01	9.451e-01
7.843e+01	9.601e-01
7.992e+01	9.753e-01
8.096e+01	9.902e-01
8.127e+01	1.005e+00
8.197e+01	1.020e+00
8.350e+01	1.036e+00
8.476e+01	1.050e+00
8.602e+01	1.065e+00
8.742e+01	1.080e+00
8.894e+01	1.095e+00
8.920e+01	1.111e+00
8.943e+01	1.125e+00
8.980e+01	1.140e+00
9.052e+01	1.156e+00
9.213e+01	1.171e+00
9.278e+01	1.186e+00
9.303e+01	1.201e+00
9.375e+01	1.216e+00
9.470e+01	1.231e+00
9.548e+01	1.247e+00
9.656e+01	1.262e+00
9.734e+01	1.277e+00
9.798e+01	1.292e+00
9.817e+01	1.307e+00
9.913e+01	1.322e+00
1.006e+02	1.337e+00
1.016e+02	1.352e+00
1.020e+02	1.367e+00
1.029e+02	1.382e+00
1.033e+02	1.397e+00
1.039e+02	1.412e+00
1.041e+02	1.427e+00
1.044e+02	1.442e+00
1.046e+02	1.457e+00
1.048e+02	1.472e+00
1.059e+02	1.487e+00
1.081e+02	1.500e+00
1.183e+02	1.500e+00
1.182e+02	1.475e+00
1.180e+02	1.451e+00
1.178e+02	1.426e+00
1.176e+02	1.402e+00
1.172e+02	1.377e+00
1.172e+02	1.353e+00
1.174e+02	1.328e+00
1.171e+02	1.303e+00
1.170e+02	1.278e+00
1.169e+02	1.254e+00
1.165e+02	1.229e+00
1.164e+02	1.204e+00
1.164e+02	1.180e+00
1.164e+02	1.156e+00
1.155e+02	1.132e+00
1.155e+02	1.107e+00
1.151e+02	1.083e+00
1.154e+02	1.058e+00
1.153e+02	1.034e+00
1.146e+02	1.010e+00
1.147e+02	9.855e-01
1.142e+02	9.612e-01
1.139e+02	9.367e-01
1.139e+02	9.121e-01
1.139e+02	8.879e-01
1.138e+02	8.633e-01
1.135e+02	8.388e-01
1.128e+02	8.146e-01
1.129e+02	7.901e-01
1.127e+02	7.658e-01
1.127e+02	7.409e-01
1.125e+02	7.165e-01
1.121e+02	6.921e-01
1.121e+02	6.680e-01
1.113e+02	6.432e-01
1.116e+02	6.189e-01
1.115e+02	5.943e-01
1.113e+02	5.702e-01
1.109e+02	5.457e-01
1.105e+02	5.209e-01
1.103e+02	4.967e-01
1.098e+02	4.720e-01
1.103e+02	4.477e-01
1.096e+02	4.231e-01
1.090e+02	3.983e-01
1.084e+02	3.739e-01
1.082e+02	3.497e-01
1.083e+02	3.253e-01
1.079e+02	3.009e-01
1.066e+02	2.767e-01
1.068e+02	2.523e-01
1.066e+02	2.280e-01
1.062e+02	2.037e-01
1.061e+02	1.791e-01
1.057e+02	1.546e-01
1.050e+02	1.490e-01
1.057e+02	1.490e-01
1.057e+02	1.247e-01
1.051e+02	1.006e-01
1.049e+02	7.579e-02
1.044e+02	5.080e-02
1.031e+02	2.642e-02
1.015e+02	1.997e-03
1.010e+02	0.000e+00
