# Depth(nm)	Force(mN)
2.702e+00	9.188e-03
3.424e+00	2.412e-02
4.468e+00	3.916e-02
6.215e+00	5.491e-02
8.168e+00	7.061e-02
1.156e+01	8.556e-02
1.485e+01	1.009e-01
1.749e+01	1.163e-01
1.979e+01	1.313e-01
2.181e+01	1.463e-01
2.286e+01	1.616e-01
2.476e+01	1.764e-01
2.676e+01	1.914e-01
2.931e+01	2.066e-01
3.209e+01	2.215e-01
3.404e+01	2.365e-01
3.555e+01	2.514e-01
3.668e+01	2.666e-01
3.800e+01	2.815e-01
3.914e+01	2.967e-01
4.229e+01	3.122e-01
4.430e+01	3.274e-01
4.628e+01	3.427e-01
4.760e+01	3.580e-01
4.926e+01	3.729e-01
5.086e+01	3.883e-01
5.313e+01	4.032e-01
5.464e+01	4.186e-01
5.678e+01	4.334e-01
5.774e+01	4.482e-01
5.834e+01	4.631e-01
5.967e+01	4.780e-01
6.227e+01	4.929e-01
6.535e+01	5.082e-01
6.817e+01	5.236e-01
6.937e+01	5.385e-01
7.018e+01	5.537e-01
7.074e+01	5.686e-01
7.147e+01	5.835e-01
7.192e+01	5.989e-01
7.248e+01	6.137e-01
7.279e+01	6.287e-01
7.527e+01	6.436e-01
7.659e+01	6.585e-01
7.732e+01	6.736e-01
7.757e+01	6.885e-01
7.834e+01	7.036e-01
7.998e+01	7.193e-01
8.261e+01	7.346e-01
8.300e+01	7.495e-01
8.338e+01	7.644e-01
8.470e+01	7.794e-01
8.502e+01	7.943e-01
8.615e+01	8.096e-01
8.795e+01	8.246e-01
8.893e+01	8.400e-01
8.987e+01	8.552e-01
9.252e+01	8.701e-01
9.409e+01	8.850e-01
9.465e+01	9.003e-01
9.482e+01	9.153e-01
9.608e+01	9.302e-01
9.740e+01	9.455e-01
9.832e+01	9.602e-01
9.975e+01	9.754e-01
1.005e+02	9.902e-01
1.017e+02	1.005e+00
1.033e+02	1.020e+00
1.043e+02	1.035e+00
1.049e+02	1.051e+00
1.056e+02	1.065e+00
1.060e+02	1.080e+00
1.062e+02	1.095e+00
1.065e+02	1.110e+00
1.080e+02	1.125e+00
1.100e+02	1.140e+00
1.121e+02	1.156e+00
1.136e+02	1.171e+00
1.145e+02	1.186e+00
1.146e+02	1.201e+00
1.161e+02	1.216e+00
1.176e+02	1.231e+00
1.180e+02	1.246e+00
1.200e+02	1.261e+00
1.203e+02	1.276e+00
1.207e+02	1.291e+00
1.206e+02	1.306e+00
1.220e+02	1.321e+00
1.246e+02	1.336e+00
1.251e+02	1.351e+00
1.259e+02	1.366e+00
1.261e+02	1.381e+00
1.271e+02	1.396e+00
1.278e+02	1.411e+00
1.281e+02	1.426e+00
1.289e+02	1.441e+00
1.309e+02	1.456e+00
1.312e+02	1.471e+00
1.317e+02	1.486e+00
1.325e+02	1.500e+00
1.382e+02	1.500e+00
1.381e+02	1.475e+00
1.381e+02	1.451e+00
1.377e+02	1.426e+00
1.375e+02	1.402e+00
1.370e+02	1.377e+00
1.370e+02	1.353e+00
1.373e+02	1.328e+00
1.370e+02	1.304e+00
1.368e+02	1.280e+00
1.366e+02	1.255e+00
1.366e+02	1.231e+00
1.361e+02	1.206e+00
1.361e+02	1.182e+00
1.362e+02	1.158e+00
1.357e+02	1.133e+00
1.353e+02	1.109e+00
1.356e+02	1.084e+00
1.353e+02	1.060e+00
1.350e+02	1.035e+00
1.349e+02	1.011e+00
1.347e+02	9.866e-01
1.338e+02	9.622e-01
1.334e+02	9.383e-01
1.339e+02	9.140e-01
1.340e+02	8.898e-01
1.338e+02	8.654e-01
1.336e+02	8.404e-01
1.336e+02	8.159e-01
1.333e+02	7.918e-01
1.328e+02	7.675e-01
1.329e+02	7.430e-01
1.326e+02	7.182e-01
1.325e+02	6.938e-01
1.323e+02	6.696e-01
1.321e+02	6.454e-01
1.319e+02	6.211e-01
1.320e+02	5.966e-01
1.313e+02	5.718e-01
1.314e+02	5.474e-01
1.311e+02	5.235e-01
1.306e+02	4.994e-01
1.307e+02	4.747e-01
1.305e+02	4.507e-01
1.300e+02	4.258e-01
1.297e+02	4.016e-01
1.296e+02	3.770e-01
1.292e+02	3.527e-01
1.295e+02	3.280e-01
1.288e+02	3.039e-01
1.284e+02	2.796e-01
1.283e+02	2.551e-01
1.281e+02	2.306e-01
1.276e+02	2.056e-01
1.273e+02	1.808e-01
1.268e+02	1.564e-01
1.268e+02	1.491e-01
1.252e+02	1.491e-01
1.252e+02	1.248e-01
1.242e+02	1.001e-01
1.242e+02	7.550e-02
1.239e+02	5.126e-02
1.236e+02	2.660e-02
1.227e+02	1.684e-03
1.223e+02	0.000e+00
