# Depth(nm)	Force(mN)
3.362e+01	4.544e-03
5.314e+01	4.459e-02
2.432e+02	8.466e-02
5.698e+02	1.245e-01
8.427e+02	1.674e-01
1.011e+03	2.078e-01
1.049e+03	2.478e-01
1.076e+03	2.874e-01
1.101e+03	3.270e-01
1.126e+03	3.665e-01
1.150e+03	4.062e-01
1.172e+03	4.478e-01
1.192e+03	4.875e-01
1.211e+03	5.272e-01
1.229e+03	5.687e-01
1.245e+03	6.087e-01
1.260e+03	6.501e-01
1.274e+03	6.904e-01
1.288e+03	7.309e-01
1.301e+03	7.718e-01
1.314e+03	8.125e-01
1.326e+03	8.528e-01
1.338e+03	8.926e-01
1.349e+03	9.332e-01
1.361e+03	9.735e-01
1.372e+03	1.013e+00
1.383e+03	1.054e+00
1.395e+03	1.094e+00
1.406e+03	1.134e+00
1.418e+03	1.174e+00
1.430e+03	1.214e+00
1.442e+03	1.255e+00
1.454e+03	1.295e+00
1.467e+03	1.335e+00
1.481e+03	1.374e+00
1.497e+03	1.414e+00
1.513e+03	1.454e+00
1.527e+03	1.493e+00
1.539e+03	1.535e+00
1.551e+03	1.574e+00
1.561e+03	1.614e+00
1.571e+03	1.654e+00
1.580e+03	1.694e+00
1.589e+03	1.734e+00
1.598e+03	1.774e+00
1.606e+03	1.816e+00
1.616e+03	1.856e+00
1.625e+03	1.897e+00
1.635e+03	1.937e+00
1.644e+03	1.977e+00
1.654e+03	2.017e+00
1.663e+03	2.057e+00
1.674e+03	2.098e+00
1.685e+03	2.138e+00
1.695e+03	2.178e+00
1.705e+03	2.218e+00
1.715e+03	2.258e+00
1.725e+03	2.298e+00
1.735e+03	2.338e+00
1.745e+03	2.379e+00
1.755e+03	2.419e+00
1.764e+03	2.459e+00
1.773e+03	2.498e+00
1.782e+03	2.538e+00
1.792e+03	2.578e+00
1.802e+03	2.619e+00
1.811e+03	2.659e+00
1.820e+03	2.698e+00
1.828e+03	2.739e+00
1.834e+03	2.779e+00
1.840e+03	2.818e+00
1.846e+03	2.859e+00
1.851e+03	2.899e+00
1.856e+03	2.940e+00
1.859e+03	2.980e+00
1.863e+03	3.021e+00
1.868e+03	3.061e+00
1.872e+03	3.101e+00
1.876e+03	3.141e+00
1.880e+03	3.182e+00
1.884e+03	3.222e+00
1.888e+03	3.262e+00
1.892e+03	3.302e+00
1.896e+03	3.342e+00
1.899e+03	3.382e+00
1.903e+03	3.422e+00
1.906e+03	3.462e+00
1.910e+03	3.503e+00
1.913e+03	3.543e+00
1.917e+03	3.583e+00
1.919e+03	3.624e+00
1.922e+03	3.664e+00
1.925e+03	3.705e+00
1.928e+03	3.745e+00
1.931e+03	3.786e+00
1.934e+03	3.826e+00
1.936e+03	3.867e+00
1.939e+03	3.907e+00
1.942e+03	3.946e+00
1.944e+03	3.986e+00
1.946e+03	4.000e+00
1.962e+03	4.000e+00
1.963e+03	3.934e+00
1.962e+03	3.867e+00
1.962e+03	3.801e+00
1.962e+03	3.736e+00
1.962e+03	3.671e+00
1.962e+03	3.607e+00
1.962e+03	3.541e+00
1.962e+03	3.476e+00
1.962e+03	3.411e+00
1.961e+03	3.345e+00
1.961e+03	3.279e+00
1.960e+03	3.214e+00
1.960e+03	3.148e+00
1.960e+03	3.084e+00
1.960e+03	3.018e+00
1.960e+03	2.951e+00
1.960e+03	2.885e+00
1.959e+03	2.818e+00
1.959e+03	2.753e+00
1.958e+03	2.689e+00
1.958e+03	2.624e+00
1.958e+03	2.558e+00
1.958e+03	2.493e+00
1.958e+03	2.428e+00
1.957e+03	2.363e+00
1.957e+03	2.298e+00
1.957e+03	2.233e+00
1.957e+03	2.169e+00
1.956e+03	2.103e+00
1.956e+03	2.038e+00
1.956e+03	1.972e+00
1.955e+03	1.907e+00
1.955e+03	1.841e+00
1.955e+03	1.775e+00
1.954e+03	1.710e+00
1.954e+03	1.644e+00
1.954e+03	1.580e+00
1.953e+03	1.515e+00
1.953e+03	1.450e+00
1.953e+03	1.385e+00
1.952e+03	1.320e+00
1.952e+03	1.254e+00
1.952e+03	1.189e+00
1.951e+03	1.124e+00
1.950e+03	1.059e+00
1.950e+03	9.936e-01
1.950e+03	9.287e-01
1.950e+03	8.628e-01
1.949e+03	7.977e-01
1.948e+03	7.313e-01
1.948e+03	6.654e-01
1.947e+03	5.995e-01
1.946e+03	5.346e-01
1.946e+03	4.702e-01
1.945e+03	4.041e-01
1.944e+03	3.995e-01
1.936e+03	3.995e-01
1.936e+03	3.350e-01
1.935e+03	2.697e-01
1.933e+03	2.045e-01
1.932e+03	1.396e-01
1.931e+03	7.332e-02
1.929e+03	9.218e-03
1.927e+03	0.000e+00
