# Depth(nm)	Force(mN)
2.742e+00	9.969e-03
4.653e+00	3.934e-02
8.812e+00	7.017e-02
1.532e+01	1.015e-01
1.759e+01	1.304e-01
2.186e+01	1.633e-01
2.583e+01	1.937e-01
3.011e+01	2.235e-01
3.427e+01	2.537e-01
3.786e+01	2.833e-01
4.066e+01	3.130e-01
4.437e+01	3.430e-01
4.746e+01	3.729e-01
5.112e+01	4.030e-01
5.503e+01	4.336e-01
5.699e+01	4.634e-01
5.847e+01	4.931e-01
6.025e+01	5.235e-01
6.421e+01	5.549e-01
6.830e+01	5.862e-01
7.229e+01	6.168e-01
7.370e+01	6.469e-01
7.544e+01	6.776e-01
7.905e+01	7.074e-01
8.358e+01	7.370e-01
8.701e+01	7.668e-01
9.049e+01	7.969e-01
9.182e+01	8.276e-01
9.231e+01	8.577e-01
9.415e+01	8.876e-01
9.561e+01	9.176e-01
9.605e+01	9.475e-01
9.702e+01	9.776e-01
9.866e+01	1.008e+00
1.001e+02	1.038e+00
1.026e+02	1.068e+00
1.056e+02	1.098e+00
1.075e+02	1.128e+00
1.081e+02	1.158e+00
1.095e+02	1.188e+00
1.111e+02	1.218e+00
1.128e+02	1.248e+00
1.138e+02	1.278e+00
1.158e+02	1.308e+00
1.166e+02	1.338e+00
1.183e+02	1.368e+00
1.204e+02	1.399e+00
1.220e+02	1.429e+00
1.233e+02	1.459e+00
1.245e+02	1.489e+00
1.264e+02	1.518e+00
1.271e+02	1.548e+00
1.286e+02	1.579e+00
1.301e+02	1.609e+00
1.315e+02	1.638e+00
1.336e+02	1.669e+00
1.367e+02	1.699e+00
1.389e+02	1.729e+00
1.397e+02	1.759e+00
1.410e+02	1.790e+00
1.428e+02	1.820e+00
1.440e+02	1.850e+00
1.463e+02	1.881e+00
1.476e+02	1.911e+00
1.485e+02	1.941e+00
1.494e+02	1.971e+00
1.499e+02	2.001e+00
1.517e+02	2.033e+00
1.530e+02	2.062e+00
1.547e+02	2.092e+00
1.563e+02	2.122e+00
1.577e+02	2.152e+00
1.591e+02	2.182e+00
1.611e+02	2.212e+00
1.617e+02	2.243e+00
1.621e+02	2.272e+00
1.628e+02	2.303e+00
1.630e+02	2.333e+00
1.645e+02	2.364e+00
1.663e+02	2.394e+00
1.668e+02	2.424e+00
1.681e+02	2.454e+00
1.687e+02	2.484e+00
1.698e+02	2.514e+00
1.706e+02	2.544e+00
1.711e+02	2.574e+00
1.724e+02	2.603e+00
1.733e+02	2.633e+00
1.745e+02	2.664e+00
1.753e+02	2.694e+00
1.768e+02	2.725e+00
1.781e+02	2.755e+00
1.792e+02	2.785e+00
1.804e+02	2.815e+00
1.814e+02	2.846e+00
1.824e+02	2.876e+00
1.829e+02	2.906e+00
1.838e+02	2.936e+00
1.842e+02	2.966e+00
1.852e+02	2.996e+00
1.862e+02	3.000e+00
1.908e+02	3.000e+00
1.907e+02	2.950e+00
1.906e+02	2.902e+00
1.907e+02	2.852e+00
1.904e+02	2.803e+00
1.905e+02	2.754e+00
1.903e+02	2.705e+00
1.897e+02	2.656e+00
1.896e+02	2.607e+00
1.894e+02	2.558e+00
1.892e+02	2.509e+00
1.891e+02	2.461e+00
1.887e+02	2.412e+00
1.885e+02	2.363e+00
1.886e+02	2.314e+00
1.882e+02	2.265e+00
1.879e+02	2.216e+00
1.882e+02	2.166e+00
1.876e+02	2.116e+00
1.873e+02	2.067e+00
1.869e+02	2.018e+00
1.871e+02	1.968e+00
1.866e+02	1.918e+00
1.868e+02	1.869e+00
1.861e+02	1.820e+00
1.859e+02	1.770e+00
1.854e+02	1.722e+00
1.853e+02	1.672e+00
1.849e+02	1.622e+00
1.847e+02	1.573e+00
1.844e+02	1.524e+00
1.842e+02	1.476e+00
1.841e+02	1.427e+00
1.835e+02	1.378e+00
1.835e+02	1.330e+00
1.834e+02	1.281e+00
1.833e+02	1.233e+00
1.830e+02	1.184e+00
1.828e+02	1.135e+00
1.823e+02	1.087e+00
1.818e+02	1.038e+00
1.814e+02	9.892e-01
1.813e+02	9.398e-01
1.809e+02	8.904e-01
1.808e+02	8.420e-01
1.809e+02	7.939e-01
1.802e+02	7.460e-01
1.801e+02	6.971e-01
1.797e+02	6.481e-01
1.795e+02	5.999e-01
1.793e+02	5.515e-01
1.784e+02	5.027e-01
1.784e+02	4.541e-01
1.777e+02	4.050e-01
1.771e+02	3.567e-01
1.768e+02	3.077e-01
1.766e+02	2.990e-01
1.772e+02	2.990e-01
1.768e+02	2.515e-01
1.764e+02	2.032e-01
1.762e+02	1.540e-01
1.755e+02	1.038e-01
1.746e+02	5.512e-02
1.732e+02	6.647e-03
1.722e+02	0.000e+00
