# Depth(nm)	Force(mN)
3.379e+01	5.503e-03
4.032e+01	1.787e-02
9.522e+01	3.055e-02
1.207e+02	4.371e-02
1.237e+02	5.672e-02
1.251e+02	6.918e-02
1.259e+02	8.170e-02
1.266e+02	9.423e-02
1.280e+02	1.072e-01
1.297e+02	1.199e-01
1.316e+02	1.330e-01
1.332e+02	1.454e-01
1.352e+02	1.580e-01
1.369e+02	1.704e-01
1.382e+02	1.830e-01
1.399e+02	1.954e-01
1.413e+02	2.081e-01
1.436e+02	2.206e-01
1.454e+02	2.330e-01
1.467e+02	2.464e-01
1.486e+02	2.590e-01
1.502e+02	2.715e-01
1.531e+02	2.838e-01
1.554e+02	2.962e-01
1.568e+02	3.085e-01
1.589e+02	3.211e-01
1.606e+02	3.337e-01
1.612e+02	3.462e-01
1.625e+02	3.585e-01
1.634e+02	3.712e-01
1.643e+02	3.838e-01
1.653e+02	3.962e-01
1.663e+02	4.090e-01
1.669e+02	4.216e-01
1.676e+02	4.340e-01
1.692e+02	4.465e-01
1.696e+02	4.591e-01
1.713e+02	4.716e-01
1.719e+02	4.840e-01
1.721e+02	4.965e-01
1.741e+02	5.097e-01
1.757e+02	5.222e-01
1.766e+02	5.349e-01
1.779e+02	5.474e-01
1.788e+02	5.600e-01
1.805e+02	5.726e-01
1.813e+02	5.851e-01
1.824e+02	5.977e-01
1.838e+02	6.102e-01
1.852e+02	6.230e-01
1.873e+02	6.354e-01
1.893e+02	6.479e-01
1.907e+02	6.604e-01
1.917e+02	6.730e-01
1.922e+02	6.855e-01
1.922e+02	6.980e-01
1.926e+02	7.105e-01
1.936e+02	7.230e-01
1.951e+02	7.355e-01
1.958e+02	7.480e-01
1.959e+02	7.607e-01
1.960e+02	7.730e-01
1.965e+02	7.854e-01
1.975e+02	7.980e-01
1.989e+02	8.104e-01
1.993e+02	8.228e-01
1.995e+02	8.354e-01
2.001e+02	8.478e-01
2.017e+02	8.607e-01
2.023e+02	8.732e-01
2.027e+02	8.860e-01
2.031e+02	8.985e-01
2.046e+02	9.115e-01
2.061e+02	9.241e-01
2.062e+02	9.365e-01
2.062e+02	9.491e-01
2.067e+02	9.616e-01
2.074e+02	9.743e-01
2.084e+02	9.870e-01
2.100e+02	9.997e-01
2.107e+02	1.012e+00
2.108e+02	1.025e+00
2.119e+02	1.038e+00
2.123e+02	1.050e+00
2.129e+02	1.062e+00
2.135e+02	1.075e+00
2.153e+02	1.088e+00
2.156e+02	1.100e+00
2.161e+02	1.113e+00
2.168e+02	1.125e+00
2.167e+02	1.138e+00
2.181e+02	1.150e+00
2.188e+02	1.163e+00
2.197e+02	1.175e+00
2.212e+02	1.187e+00
2.222e+02	1.200e+00
2.240e+02	1.212e+00
2.243e+02	1.225e+00
2.247e+02	1.238e+00
2.254e+02	1.250e+00
2.293e+02	1.250e+00
2.292e+02	1.230e+00
2.297e+02	1.209e+00
2.295e+02	1.189e+00
2.293e+02	1.169e+00
2.294e+02	1.148e+00
2.293e+02	1.128e+00
2.292e+02	1.108e+00
2.289e+02	1.087e+00
2.291e+02	1.067e+00
2.288e+02	1.047e+00
2.288e+02	1.027e+00
2.287e+02	1.006e+00
2.282e+02	9.860e-01
2.281e+02	9.657e-01
2.278e+02	9.453e-01
2.278e+02	9.250e-01
2.281e+02	9.046e-01
2.277e+02	8.844e-01
2.273e+02	8.636e-01
2.274e+02	8.434e-01
2.266e+02	8.228e-01
2.266e+02	8.023e-01
2.266e+02	7.819e-01
2.269e+02	7.617e-01
2.264e+02	7.415e-01
2.260e+02	7.212e-01
2.262e+02	7.010e-01
2.261e+02	6.803e-01
2.260e+02	6.602e-01
2.257e+02	6.399e-01
2.256e+02	6.194e-01
2.251e+02	5.992e-01
2.252e+02	5.787e-01
2.249e+02	5.583e-01
2.249e+02	5.380e-01
2.248e+02	5.176e-01
2.246e+02	4.969e-01
2.242e+02	4.762e-01
2.238e+02	4.560e-01
2.238e+02	4.357e-01
2.234e+02	4.156e-01
2.232e+02	3.950e-01
2.230e+02	3.747e-01
2.228e+02	3.545e-01
2.228e+02	3.343e-01
2.224e+02	3.136e-01
2.222e+02	2.935e-01
2.220e+02	2.733e-01
2.215e+02	2.530e-01
2.210e+02	2.329e-01
2.209e+02	2.126e-01
2.206e+02	1.917e-01
2.201e+02	1.715e-01
2.199e+02	1.510e-01
2.196e+02	1.307e-01
2.198e+02	1.245e-01
2.178e+02	1.244e-01
2.178e+02	1.044e-01
2.172e+02	8.422e-02
2.170e+02	6.377e-02
2.167e+02	4.343e-02
2.161e+02	2.306e-02
2.151e+02	2.821e-03
2.138e+02	0.000e+00
