# Depth(nm)	Force(mN)
2.715e+00	9.080e-03
4.750e+00	4.415e-02
8.996e+00	7.912e-02
1.639e+01	1.139e-01
2.190e+01	1.503e-01
2.585e+01	1.853e-01
2.917e+01	2.202e-01
3.354e+01	2.553e-01
3.713e+01	2.902e-01
4.142e+01	3.253e-01
4.640e+01	3.602e-01
4.893e+01	3.953e-01
5.237e+01	4.304e-01
5.509e+01	4.668e-01
5.837e+01	5.021e-01
6.233e+01	5.389e-01
6.642e+01	5.737e-01
7.127e+01	6.091e-01
7.584e+01	6.442e-01
7.976e+01	6.797e-01
8.155e+01	7.150e-01
8.256e+01	7.501e-01
8.425e+01	7.856e-01
8.681e+01	8.201e-01
8.923e+01	8.555e-01
9.167e+01	8.903e-01
9.337e+01	9.251e-01
9.432e+01	9.603e-01
9.526e+01	9.950e-01
9.713e+01	1.030e+00
9.974e+01	1.067e+00
1.033e+02	1.102e+00
1.064e+02	1.137e+00
1.093e+02	1.172e+00
1.120e+02	1.208e+00
1.157e+02	1.242e+00
1.167e+02	1.277e+00
1.173e+02	1.312e+00
1.186e+02	1.348e+00
1.202e+02	1.383e+00
1.217e+02	1.419e+00
1.230e+02	1.454e+00
1.248e+02	1.489e+00
1.282e+02	1.524e+00
1.319e+02	1.559e+00
1.353e+02	1.594e+00
1.376e+02	1.629e+00
1.398e+02	1.664e+00
1.409e+02	1.699e+00
1.426e+02	1.734e+00
1.441e+02	1.770e+00
1.459e+02	1.805e+00
1.469e+02	1.840e+00
1.483e+02	1.875e+00
1.502e+02	1.909e+00
1.517e+02	1.944e+00
1.533e+02	1.979e+00
1.550e+02	2.014e+00
1.596e+02	2.049e+00
1.632e+02	2.084e+00
1.662e+02	2.119e+00
1.680e+02	2.155e+00
1.693e+02	2.189e+00
1.697e+02	2.224e+00
1.699e+02	2.259e+00
1.711e+02	2.294e+00
1.722e+02	2.329e+00
1.735e+02	2.365e+00
1.753e+02	2.399e+00
1.766e+02	2.434e+00
1.772e+02	2.470e+00
1.796e+02	2.505e+00
1.820e+02	2.540e+00
1.843e+02	2.574e+00
1.862e+02	2.610e+00
1.871e+02	2.644e+00
1.884e+02	2.679e+00
1.889e+02	2.714e+00
1.889e+02	2.750e+00
1.899e+02	2.785e+00
1.921e+02	2.819e+00
1.931e+02	2.854e+00
1.942e+02	2.890e+00
1.946e+02	2.925e+00
1.962e+02	2.960e+00
1.970e+02	2.996e+00
1.978e+02	3.031e+00
1.996e+02	3.066e+00
2.002e+02	3.102e+00
2.004e+02	3.137e+00
2.009e+02	3.172e+00
2.027e+02	3.207e+00
2.028e+02	3.243e+00
2.039e+02	3.278e+00
2.054e+02	3.313e+00
2.073e+02	3.348e+00
2.077e+02	3.383e+00
2.083e+02	3.418e+00
2.087e+02	3.454e+00
2.092e+02	3.489e+00
2.099e+02	3.500e+00
2.141e+02	3.500e+00
2.139e+02	3.442e+00
2.133e+02	3.384e+00
2.133e+02	3.326e+00
2.130e+02	3.269e+00
2.131e+02	3.212e+00
2.125e+02	3.155e+00
2.121e+02	3.097e+00
2.122e+02	3.039e+00
2.120e+02	2.983e+00
2.118e+02	2.927e+00
2.115e+02	2.871e+00
2.112e+02	2.813e+00
2.108e+02	2.756e+00
2.106e+02	2.699e+00
2.105e+02	2.643e+00
2.105e+02	2.586e+00
2.101e+02	2.528e+00
2.100e+02	2.471e+00
2.095e+02	2.414e+00
2.095e+02	2.357e+00
2.092e+02	2.300e+00
2.090e+02	2.243e+00
2.085e+02	2.186e+00
2.082e+02	2.129e+00
2.083e+02	2.073e+00
2.081e+02	2.016e+00
2.075e+02	1.958e+00
2.071e+02	1.901e+00
2.069e+02	1.844e+00
2.068e+02	1.787e+00
2.063e+02	1.731e+00
2.064e+02	1.674e+00
2.057e+02	1.618e+00
2.057e+02	1.560e+00
2.051e+02	1.503e+00
2.044e+02	1.445e+00
2.047e+02	1.389e+00
2.042e+02	1.331e+00
2.038e+02	1.274e+00
2.038e+02	1.217e+00
2.035e+02	1.160e+00
2.029e+02	1.102e+00
2.026e+02	1.044e+00
2.024e+02	9.872e-01
2.023e+02	9.293e-01
2.018e+02	8.714e-01
2.011e+02	8.147e-01
2.002e+02	7.572e-01
2.002e+02	6.990e-01
1.999e+02	6.426e-01
1.996e+02	5.852e-01
1.989e+02	5.280e-01
1.989e+02	4.711e-01
1.981e+02	4.145e-01
1.970e+02	3.575e-01
1.968e+02	3.491e-01
1.966e+02	3.491e-01
1.966e+02	2.933e-01
1.963e+02	2.368e-01
1.964e+02	1.802e-01
1.960e+02	1.226e-01
1.946e+02	6.593e-02
1.935e+02	8.552e-03
1.925e+02	0.000e+00
