# Depth(nm)	Force(mN)
3.417e+00	5.506e-03
4.437e+00	1.782e-02
5.951e+00	3.052e-02
7.201e+00	4.346e-02
7.648e+00	5.650e-02
9.073e+00	6.906e-02
9.720e+00	8.154e-02
1.086e+01	9.415e-02
1.518e+01	1.073e-01
1.937e+01	1.197e-01
2.203e+01	1.322e-01
2.315e+01	1.447e-01
2.414e+01	1.572e-01
2.605e+01	1.696e-01
2.730e+01	1.822e-01
2.872e+01	1.946e-01
3.098e+01	2.071e-01
3.316e+01	2.200e-01
3.489e+01	2.324e-01
3.560e+01	2.448e-01
3.839e+01	2.574e-01
4.089e+01	2.698e-01
4.278e+01	2.826e-01
4.403e+01	2.949e-01
4.510e+01	3.077e-01
4.645e+01	3.204e-01
4.836e+01	3.328e-01
4.927e+01	3.452e-01
5.122e+01	3.579e-01
5.337e+01	3.709e-01
5.456e+01	3.835e-01
5.498e+01	3.964e-01
5.597e+01	4.096e-01
5.771e+01	4.221e-01
5.799e+01	4.348e-01
5.924e+01	4.473e-01
5.976e+01	4.597e-01
6.074e+01	4.721e-01
6.224e+01	4.847e-01
6.441e+01	4.972e-01
6.756e+01	5.102e-01
6.889e+01	5.227e-01
6.980e+01	5.354e-01
7.081e+01	5.480e-01
7.175e+01	5.605e-01
7.232e+01	5.729e-01
7.293e+01	5.855e-01
7.316e+01	5.982e-01
7.368e+01	6.110e-01
7.541e+01	6.235e-01
7.703e+01	6.360e-01
7.905e+01	6.484e-01
7.966e+01	6.609e-01
7.971e+01	6.734e-01
7.998e+01	6.857e-01
8.043e+01	6.981e-01
8.167e+01	7.106e-01
8.279e+01	7.230e-01
8.373e+01	7.355e-01
8.406e+01	7.482e-01
8.453e+01	7.609e-01
8.549e+01	7.735e-01
8.614e+01	7.860e-01
8.687e+01	7.984e-01
8.682e+01	8.110e-01
8.820e+01	8.236e-01
8.885e+01	8.362e-01
8.999e+01	8.485e-01
9.195e+01	8.611e-01
9.384e+01	8.736e-01
9.422e+01	8.861e-01
9.518e+01	8.985e-01
9.742e+01	9.109e-01
9.891e+01	9.237e-01
9.942e+01	9.361e-01
1.000e+02	9.486e-01
1.007e+02	9.612e-01
1.009e+02	9.735e-01
1.013e+02	9.861e-01
1.028e+02	9.987e-01
1.032e+02	1.012e+00
1.050e+02	1.025e+00
1.058e+02	1.037e+00
1.060e+02	1.050e+00
1.062e+02	1.062e+00
1.061e+02	1.075e+00
1.064e+02	1.087e+00
1.070e+02	1.100e+00
1.083e+02	1.112e+00
1.080e+02	1.125e+00
1.086e+02	1.138e+00
1.092e+02	1.151e+00
1.103e+02	1.163e+00
1.111e+02	1.175e+00
1.117e+02	1.188e+00
1.118e+02	1.200e+00
1.122e+02	1.213e+00
1.139e+02	1.226e+00
1.156e+02	1.238e+00
1.170e+02	1.250e+00
1.218e+02	1.250e+00
1.217e+02	1.229e+00
1.216e+02	1.209e+00
1.212e+02	1.188e+00
1.211e+02	1.168e+00
1.209e+02	1.147e+00
1.211e+02	1.127e+00
1.213e+02	1.106e+00
1.205e+02	1.086e+00
1.208e+02	1.066e+00
1.203e+02	1.046e+00
1.204e+02	1.025e+00
1.206e+02	1.005e+00
1.197e+02	9.846e-01
1.198e+02	9.644e-01
1.196e+02	9.441e-01
1.195e+02	9.237e-01
1.193e+02	9.036e-01
1.191e+02	8.831e-01
1.187e+02	8.623e-01
1.188e+02	8.420e-01
1.187e+02	8.220e-01
1.185e+02	8.014e-01
1.183e+02	7.812e-01
1.181e+02	7.606e-01
1.182e+02	7.405e-01
1.180e+02	7.204e-01
1.175e+02	7.002e-01
1.174e+02	6.796e-01
1.171e+02	6.595e-01
1.168e+02	6.389e-01
1.172e+02	6.181e-01
1.168e+02	5.980e-01
1.166e+02	5.776e-01
1.165e+02	5.571e-01
1.161e+02	5.370e-01
1.161e+02	5.169e-01
1.158e+02	4.965e-01
1.157e+02	4.762e-01
1.154e+02	4.556e-01
1.152e+02	4.352e-01
1.148e+02	4.148e-01
1.145e+02	3.946e-01
1.143e+02	3.745e-01
1.143e+02	3.544e-01
1.143e+02	3.338e-01
1.140e+02	3.134e-01
1.140e+02	2.931e-01
1.134e+02	2.729e-01
1.132e+02	2.527e-01
1.120e+02	2.326e-01
1.118e+02	2.124e-01
1.117e+02	1.919e-01
1.117e+02	1.712e-01
1.111e+02	1.509e-01
1.106e+02	1.306e-01
1.105e+02	1.244e-01
1.118e+02	1.244e-01
1.119e+02	1.039e-01
1.112e+02	8.303e-02
1.103e+02	6.284e-02
1.093e+02	4.272e-02
1.081e+02	2.232e-02
1.045e+02	2.014e-03
1.062e+02	0.000e+00
