# Depth(nm)	Force(mN)
2.387e+00	9.178e-03
3.160e+00	2.160e-02
5.004e+00	3.398e-02
7.603e+00	4.697e-02
9.863e+00	5.886e-02
1.166e+01	7.273e-02
1.283e+01	8.515e-02
1.473e+01	9.759e-02
1.674e+01	1.105e-01
1.809e+01	1.231e-01
1.931e+01	1.359e-01
2.108e+01	1.483e-01
2.254e+01	1.607e-01
2.424e+01	1.731e-01
2.579e+01	1.857e-01
2.784e+01	1.982e-01
2.961e+01	2.106e-01
3.156e+01	2.232e-01
3.421e+01	2.356e-01
3.541e+01	2.482e-01
3.880e+01	2.608e-01
4.009e+01	2.731e-01
4.141e+01	2.856e-01
4.199e+01	2.981e-01
4.267e+01	3.107e-01
4.356e+01	3.231e-01
4.417e+01	3.358e-01
4.614e+01	3.482e-01
4.796e+01	3.606e-01
5.133e+01	3.730e-01
5.289e+01	3.855e-01
5.351e+01	3.979e-01
5.483e+01	4.102e-01
5.762e+01	4.231e-01
6.037e+01	4.355e-01
6.143e+01	4.482e-01
6.191e+01	4.609e-01
6.259e+01	4.735e-01
6.258e+01	4.859e-01
6.365e+01	4.984e-01
6.402e+01	5.111e-01
6.480e+01	5.240e-01
6.590e+01	5.367e-01
6.671e+01	5.490e-01
6.822e+01	5.616e-01
6.972e+01	5.740e-01
7.100e+01	5.867e-01
7.191e+01	5.993e-01
7.281e+01	6.118e-01
7.549e+01	6.243e-01
7.707e+01	6.369e-01
7.794e+01	6.500e-01
7.802e+01	6.625e-01
7.838e+01	6.750e-01
7.859e+01	6.877e-01
7.898e+01	7.002e-01
7.918e+01	7.127e-01
8.040e+01	7.252e-01
8.121e+01	7.380e-01
8.210e+01	7.507e-01
8.311e+01	7.633e-01
8.352e+01	7.758e-01
8.440e+01	7.884e-01
8.557e+01	8.007e-01
8.703e+01	8.133e-01
8.846e+01	8.261e-01
8.933e+01	8.388e-01
9.003e+01	8.516e-01
9.109e+01	8.642e-01
9.205e+01	8.767e-01
9.254e+01	8.890e-01
9.352e+01	9.017e-01
9.421e+01	9.143e-01
9.510e+01	9.268e-01
9.635e+01	9.392e-01
9.784e+01	9.515e-01
9.790e+01	9.638e-01
9.846e+01	9.763e-01
1.007e+02	9.888e-01
1.007e+02	1.001e+00
1.021e+02	1.014e+00
1.026e+02	1.027e+00
1.026e+02	1.040e+00
1.029e+02	1.052e+00
1.034e+02	1.065e+00
1.058e+02	1.078e+00
1.080e+02	1.090e+00
1.093e+02	1.103e+00
1.093e+02	1.116e+00
1.103e+02	1.128e+00
1.106e+02	1.141e+00
1.104e+02	1.153e+00
1.107e+02	1.166e+00
1.111e+02	1.178e+00
1.116e+02	1.191e+00
1.116e+02	1.203e+00
1.120e+02	1.216e+00
1.128e+02	1.228e+00
1.133e+02	1.241e+00
1.135e+02	1.250e+00
1.202e+02	1.250e+00
1.205e+02	1.229e+00
1.207e+02	1.208e+00
1.204e+02	1.188e+00
1.204e+02	1.167e+00
1.200e+02	1.147e+00
1.201e+02	1.126e+00
1.198e+02	1.106e+00
1.198e+02	1.086e+00
1.199e+02	1.066e+00
1.197e+02	1.045e+00
1.193e+02	1.025e+00
1.195e+02	1.004e+00
1.193e+02	9.836e-01
1.192e+02	9.634e-01
1.190e+02	9.429e-01
1.183e+02	9.226e-01
1.185e+02	9.021e-01
1.184e+02	8.818e-01
1.182e+02	8.615e-01
1.182e+02	8.411e-01
1.182e+02	8.207e-01
1.177e+02	8.004e-01
1.177e+02	7.802e-01
1.179e+02	7.597e-01
1.176e+02	7.395e-01
1.169e+02	7.189e-01
1.168e+02	6.986e-01
1.169e+02	6.782e-01
1.165e+02	6.580e-01
1.163e+02	6.375e-01
1.163e+02	6.171e-01
1.160e+02	5.968e-01
1.158e+02	5.762e-01
1.158e+02	5.560e-01
1.159e+02	5.353e-01
1.155e+02	5.153e-01
1.157e+02	4.949e-01
1.150e+02	4.745e-01
1.147e+02	4.538e-01
1.144e+02	4.336e-01
1.144e+02	4.133e-01
1.143e+02	3.933e-01
1.137e+02	3.728e-01
1.138e+02	3.527e-01
1.134e+02	3.324e-01
1.134e+02	3.120e-01
1.130e+02	2.918e-01
1.124e+02	2.712e-01
1.124e+02	2.507e-01
1.123e+02	2.302e-01
1.118e+02	2.100e-01
1.105e+02	1.895e-01
1.100e+02	1.693e-01
1.092e+02	1.492e-01
1.094e+02	1.291e-01
1.091e+02	1.241e-01
1.117e+02	1.241e-01
1.113e+02	1.021e-01
1.112e+02	8.179e-02
1.106e+02	6.131e-02
1.105e+02	4.055e-02
1.093e+02	2.026e-02
1.083e+02	4.030e-04
1.073e+02	0.000e+00
