# Depth(nm)	Force(mN)
3.238e+00	9.078e-03
7.303e+00	5.425e-02
1.519e+01	1.000e-01
2.096e+01	1.469e-01
2.651e+01	1.921e-01
3.249e+01	2.380e-01
3.687e+01	2.825e-01
4.189e+01	3.272e-01
4.781e+01	3.729e-01
5.111e+01	4.181e-01
5.413e+01	4.667e-01
5.779e+01	5.119e-01
6.169e+01	5.590e-01
6.701e+01	6.042e-01
7.210e+01	6.491e-01
7.494e+01	6.947e-01
7.974e+01	7.398e-01
8.296e+01	7.844e-01
8.516e+01	8.293e-01
8.799e+01	8.752e-01
9.084e+01	9.201e-01
9.245e+01	9.649e-01
9.578e+01	1.010e+00
9.803e+01	1.056e+00
1.023e+02	1.103e+00
1.050e+02	1.147e+00
1.092e+02	1.192e+00
1.120e+02	1.237e+00
1.143e+02	1.282e+00
1.163e+02	1.326e+00
1.178e+02	1.371e+00
1.200e+02	1.416e+00
1.219e+02	1.461e+00
1.238e+02	1.506e+00
1.271e+02	1.551e+00
1.297e+02	1.597e+00
1.318e+02	1.641e+00
1.352e+02	1.686e+00
1.376e+02	1.731e+00
1.393e+02	1.777e+00
1.410e+02	1.822e+00
1.428e+02	1.867e+00
1.454e+02	1.911e+00
1.476e+02	1.956e+00
1.493e+02	2.001e+00
1.508e+02	2.046e+00
1.528e+02	2.091e+00
1.560e+02	2.137e+00
1.589e+02	2.181e+00
1.604e+02	2.226e+00
1.625e+02	2.271e+00
1.644e+02	2.316e+00
1.656e+02	2.361e+00
1.675e+02	2.406e+00
1.699e+02	2.452e+00
1.719e+02	2.497e+00
1.736e+02	2.542e+00
1.753e+02	2.586e+00
1.766e+02	2.631e+00
1.790e+02	2.676e+00
1.802e+02	2.721e+00
1.817e+02	2.766e+00
1.832e+02	2.811e+00
1.845e+02	2.856e+00
1.859e+02	2.902e+00
1.876e+02	2.946e+00
1.889e+02	2.992e+00
1.900e+02	3.037e+00
1.917e+02	3.081e+00
1.930e+02	3.127e+00
1.951e+02	3.173e+00
1.964e+02	3.217e+00
1.974e+02	3.262e+00
1.987e+02	3.307e+00
1.999e+02	3.352e+00
2.017e+02	3.397e+00
2.028e+02	3.442e+00
2.036e+02	3.487e+00
2.047e+02	3.532e+00
2.060e+02	3.577e+00
2.067e+02	3.624e+00
2.073e+02	3.670e+00
2.085e+02	3.716e+00
2.093e+02	3.762e+00
2.106e+02	3.806e+00
2.115e+02	3.851e+00
2.120e+02	3.897e+00
2.125e+02	3.941e+00
2.138e+02	3.986e+00
2.140e+02	4.031e+00
2.147e+02	4.076e+00
2.154e+02	4.121e+00
2.162e+02	4.168e+00
2.166e+02	4.213e+00
2.173e+02	4.258e+00
2.180e+02	4.303e+00
2.189e+02	4.349e+00
2.197e+02	4.394e+00
2.205e+02	4.439e+00
2.209e+02	4.483e+00
2.215e+02	4.500e+00
2.244e+02	4.500e+00
2.246e+02	4.425e+00
2.242e+02	4.350e+00
2.238e+02	4.276e+00
2.236e+02	4.204e+00
2.234e+02	4.131e+00
2.232e+02	4.058e+00
2.229e+02	3.985e+00
2.226e+02	3.912e+00
2.226e+02	3.839e+00
2.223e+02	3.767e+00
2.221e+02	3.695e+00
2.216e+02	3.622e+00
2.216e+02	3.548e+00
2.210e+02	3.475e+00
2.210e+02	3.402e+00
2.207e+02	3.329e+00
2.203e+02	3.255e+00
2.199e+02	3.182e+00
2.194e+02	3.110e+00
2.193e+02	3.036e+00
2.191e+02	2.961e+00
2.189e+02	2.888e+00
2.187e+02	2.815e+00
2.183e+02	2.742e+00
2.183e+02	2.669e+00
2.180e+02	2.595e+00
2.177e+02	2.522e+00
2.176e+02	2.449e+00
2.170e+02	2.376e+00
2.167e+02	2.302e+00
2.165e+02	2.227e+00
2.162e+02	2.153e+00
2.157e+02	2.078e+00
2.154e+02	2.005e+00
2.153e+02	1.932e+00
2.146e+02	1.859e+00
2.146e+02	1.783e+00
2.137e+02	1.710e+00
2.136e+02	1.638e+00
2.129e+02	1.564e+00
2.126e+02	1.491e+00
2.126e+02	1.417e+00
2.121e+02	1.344e+00
2.117e+02	1.271e+00
2.113e+02	1.199e+00
2.110e+02	1.126e+00
2.106e+02	1.052e+00
2.100e+02	9.779e-01
2.096e+02	9.052e-01
2.091e+02	8.318e-01
2.089e+02	7.586e-01
2.084e+02	6.860e-01
2.078e+02	6.140e-01
2.073e+02	5.416e-01
2.066e+02	4.688e-01
2.059e+02	4.491e-01
2.039e+02	4.491e-01
2.037e+02	3.769e-01
2.031e+02	3.043e-01
2.024e+02	2.299e-01
2.017e+02	1.554e-01
2.009e+02	8.305e-02
1.998e+02	9.997e-03
1.986e+02	0.000e+00
