# Depth(nm)	Force(mN)
2.031e+00	9.077e-03
6.046e+00	4.406e-02
1.121e+01	7.931e-02
1.650e+01	1.142e-01
2.143e+01	1.495e-01
2.621e+01	1.882e-01
3.040e+01	2.229e-01
3.436e+01	2.577e-01
3.817e+01	2.927e-01
4.162e+01	3.276e-01
4.459e+01	3.625e-01
4.720e+01	3.974e-01
4.970e+01	4.328e-01
5.307e+01	4.695e-01
5.745e+01	5.048e-01
6.229e+01	5.411e-01
6.651e+01	5.760e-01
6.917e+01	6.112e-01
7.229e+01	6.462e-01
7.613e+01	6.819e-01
7.948e+01	7.177e-01
8.152e+01	7.527e-01
8.321e+01	7.878e-01
8.542e+01	8.228e-01
8.712e+01	8.578e-01
8.990e+01	8.928e-01
9.189e+01	9.281e-01
9.466e+01	9.631e-01
9.911e+01	9.981e-01
1.017e+02	1.033e+00
1.028e+02	1.069e+00
1.046e+02	1.103e+00
1.065e+02	1.138e+00
1.076e+02	1.174e+00
1.102e+02	1.208e+00
1.122e+02	1.243e+00
1.132e+02	1.278e+00
1.147e+02	1.313e+00
1.175e+02	1.348e+00
1.185e+02	1.383e+00
1.203e+02	1.418e+00
1.237e+02	1.453e+00
1.263e+02	1.488e+00
1.280e+02	1.523e+00
1.291e+02	1.558e+00
1.324e+02	1.593e+00
1.352e+02	1.628e+00
1.360e+02	1.663e+00
1.371e+02	1.698e+00
1.391e+02	1.733e+00
1.400e+02	1.768e+00
1.423e+02	1.803e+00
1.463e+02	1.838e+00
1.488e+02	1.873e+00
1.503e+02	1.908e+00
1.508e+02	1.943e+00
1.527e+02	1.978e+00
1.539e+02	2.014e+00
1.556e+02	2.049e+00
1.580e+02	2.083e+00
1.609e+02	2.118e+00
1.625e+02	2.154e+00
1.643e+02	2.189e+00
1.655e+02	2.224e+00
1.666e+02	2.259e+00
1.672e+02	2.294e+00
1.701e+02	2.329e+00
1.712e+02	2.365e+00
1.727e+02	2.400e+00
1.742e+02	2.435e+00
1.751e+02	2.471e+00
1.759e+02	2.506e+00
1.773e+02	2.542e+00
1.786e+02	2.577e+00
