# Depth(nm)	Force(mN)
3.556e+00	9.059e-03
5.379e+00	4.324e-02
7.764e+00	7.778e-02
1.153e+01	1.126e-01
2.005e+01	1.500e-01
2.731e+01	1.848e-01
3.126e+01	2.197e-01
3.469e+01	2.545e-01
3.918e+01	2.895e-01
4.472e+01	3.240e-01
4.731e+01	3.591e-01
4.942e+01	3.943e-01
5.179e+01	4.293e-01
5.645e+01	4.650e-01
6.021e+01	4.998e-01
6.389e+01	5.348e-01
6.738e+01	5.708e-01
7.014e+01	6.058e-01
7.296e+01	6.408e-01
7.525e+01	6.758e-01
7.780e+01	7.107e-01
8.024e+01	7.465e-01
8.247e+01	7.814e-01
8.446e+01	8.161e-01
8.740e+01	8.510e-01
9.046e+01	8.868e-01
9.390e+01	9.222e-01
9.643e+01	9.572e-01
9.964e+01	9.924e-01
1.028e+02	1.027e+00
1.045e+02	1.064e+00
1.061e+02	1.100e+00
1.073e+02	1.135e+00
1.077e+02	1.170e+00
1.107e+02	1.206e+00
1.135e+02	1.241e+00
1.155e+02	1.276e+00
1.180e+02	1.311e+00
1.194e+02	1.346e+00
1.219e+02	1.383e+00
1.255e+02	1.417e+00
1.284e+02	1.452e+00
1.303e+02	1.486e+00
1.323e+02	1.521e+00
1.339e+02	1.557e+00
1.350e+02	1.591e+00
1.356e+02	1.626e+00
1.363e+02	1.661e+00
1.389e+02	1.696e+00
1.419e+02	1.731e+00
1.456e+02	1.766e+00
1.492e+02	1.802e+00
1.515e+02	1.837e+00
1.560e+02	1.871e+00
1.589e+02	1.906e+00
1.593e+02	1.941e+00
1.602e+02	1.976e+00
1.607e+02	2.011e+00
1.610e+02	2.047e+00
1.621e+02	2.082e+00
1.635e+02	2.118e+00
1.662e+02	2.153e+00
1.682e+02	2.188e+00
1.692e+02	2.223e+00
1.710e+02	2.258e+00
1.730e+02	2.293e+00
1.745e+02	2.328e+00
1.762e+02	2.364e+00
1.771e+02	2.398e+00
1.776e+02	2.433e+00
1.791e+02	2.468e+00
1.821e+02	2.503e+00
1.834e+02	2.539e+00
1.855e+02	2.573e+00
1.889e+02	2.609e+00
1.904e+02	2.643e+00
1.916e+02	2.678e+00
1.920e+02	2.713e+00
1.933e+02	2.748e+00
1.936e+02	2.783e+00
1.952e+02	2.818e+00
1.950e+02	2.853e+00
1.961e+02	2.888e+00
1.972e+02	2.922e+00
1.991e+02	2.958e+00
2.005e+02	2.993e+00
2.025e+02	3.028e+00
2.034e+02	3.063e+00
2.043e+02	3.098e+00
2.055e+02	3.133e+00
2.067e+02	3.168e+00
2.072e+02	3.203e+00
2.080e+02	3.238e+00
2.087e+02	3.273e+00
2.092e+02	3.308e+00
2.097e+02	3.343e+00
2.101e+02	3.378e+00
2.107e+02	3.413e+00
2.116e+02	3.448e+00
2.126e+02	3.483e+00
2.142e+02	3.500e+00
2.185e+02	3.500e+00
2.184e+02	3.443e+00
2.185e+02	3.385e+00
2.179e+02	3.327e+00
2.177e+02	3.271e+00
2.178e+02	3.214e+00
2.172e+02	3.157e+00
2.172e+02	3.100e+00
2.168e+02	3.043e+00
2.165e+02	2.986e+00
2.163e+02	2.929e+00
2.162e+02	2.872e+00
2.163e+02	2.814e+00
2.160e+02	2.758e+00
2.154e+02	2.701e+00
2.155e+02	2.644e+00
2.154e+02	2.586e+00
2.146e+02	2.530e+00
2.145e+02	2.473e+00
2.142e+02	2.416e+00
2.139e+02	2.359e+00
2.135e+02	2.303e+00
2.136e+02	2.245e+00
2.131e+02	2.188e+00
2.132e+02	2.131e+00
2.131e+02	2.075e+00
2.127e+02	2.017e+00
2.122e+02	1.959e+00
2.118e+02	1.901e+00
2.118e+02	1.845e+00
2.110e+02	1.787e+00
2.111e+02	1.730e+00
2.107e+02	1.673e+00
2.108e+02	1.615e+00
2.105e+02	1.559e+00
2.101e+02	1.502e+00
2.100e+02	1.445e+00
2.096e+02	1.388e+00
2.091e+02	1.331e+00
2.090e+02	1.274e+00
2.086e+02	1.216e+00
2.080e+02	1.158e+00
2.079e+02	1.101e+00
2.073e+02	1.045e+00
2.066e+02	9.878e-01
2.067e+02	9.312e-01
2.064e+02	8.746e-01
2.064e+02	8.176e-01
2.056e+02	7.605e-01
2.052e+02	7.025e-01
2.047e+02	6.460e-01
2.042e+02	5.883e-01
2.038e+02	5.300e-01
2.032e+02	4.732e-01
2.027e+02	4.159e-01
2.023e+02	3.597e-01
2.021e+02	3.491e-01
2.006e+02	3.491e-01
2.001e+02	2.924e-01
1.998e+02	2.354e-01
1.991e+02	1.784e-01
1.986e+02	1.202e-01
1.971e+02	6.217e-02
1.955e+02	4.606e-03
1.942e+02	0.000e+00
