# Depth(nm)	Force(mN)
2.744e+00	9.082e-03
3.732e+00	3.366e-02
6.284e+00	5.984e-02
1.147e+01	8.558e-02
1.569e+01	1.107e-01
1.909e+01	1.396e-01
2.115e+01	1.652e-01
2.532e+01	1.901e-01
2.802e+01	2.154e-01
3.169e+01	2.404e-01
3.496e+01	2.654e-01
3.789e+01	2.908e-01
3.970e+01	3.161e-01
4.294e+01	3.409e-01
4.659e+01	3.658e-01
4.996e+01	3.906e-01
5.298e+01	4.155e-01
5.487e+01	4.411e-01
5.605e+01	4.661e-01
5.805e+01	4.910e-01
6.093e+01	5.159e-01
6.393e+01	5.416e-01
6.719e+01	5.665e-01
6.893e+01	5.913e-01
7.205e+01	6.161e-01
7.465e+01	6.410e-01
7.754e+01	6.661e-01
7.803e+01	6.911e-01
7.895e+01	7.158e-01
8.013e+01	7.406e-01
8.231e+01	7.659e-01
8.745e+01	7.911e-01
8.973e+01	8.161e-01
9.060e+01	8.414e-01
9.116e+01	8.664e-01
9.332e+01	8.921e-01
9.494e+01	9.171e-01
9.543e+01	9.421e-01
9.661e+01	9.671e-01
9.862e+01	9.919e-01
1.000e+02	1.017e+00
1.011e+02	1.043e+00
1.020e+02	1.068e+00
1.039e+02	1.093e+00
1.052e+02	1.118e+00
1.061e+02	1.143e+00
1.076e+02	1.168e+00
1.096e+02	1.193e+00
1.102e+02	1.218e+00
1.113e+02	1.243e+00
1.121e+02	1.268e+00
1.129e+02	1.293e+00
1.141e+02	1.318e+00
1.152e+02	1.344e+00
1.166e+02	1.369e+00
1.173e+02	1.395e+00
1.183e+02	1.420e+00
1.207e+02	1.445e+00
1.229e+02	1.470e+00
1.238e+02	1.495e+00
1.250e+02	1.521e+00
1.262e+02	1.546e+00
1.276e+02	1.571e+00
1.286e+02	1.596e+00
1.300e+02	1.621e+00
1.325e+02	1.646e+00
1.335e+02	1.671e+00
1.337e+02	1.696e+00
1.341e+02	1.721e+00
1.341e+02	1.746e+00
1.357e+02	1.771e+00
1.378e+02	1.796e+00
1.390e+02	1.821e+00
1.401e+02	1.846e+00
1.411e+02	1.871e+00
1.422e+02	1.896e+00
1.427e+02	1.921e+00
1.432e+02	1.947e+00
1.435e+02	1.972e+00
1.438e+02	1.997e+00
1.441e+02	2.023e+00
1.455e+02	2.048e+00
1.480e+02	2.074e+00
1.492e+02	2.098e+00
1.521e+02	2.124e+00
1.528e+02	2.148e+00
1.535e+02	2.173e+00
1.543e+02	2.198e+00
1.550e+02	2.223e+00
1.558e+02	2.248e+00
1.564e+02	2.273e+00
1.572e+02	2.299e+00
1.577e+02	2.324e+00
1.587e+02	2.349e+00
1.596e+02	2.374e+00
1.606e+02	2.398e+00
1.618e+02	2.423e+00
1.620e+02	2.448e+00
1.627e+02	2.473e+00
1.633e+02	2.498e+00
1.637e+02	2.523e+00
1.643e+02	2.548e+00
1.650e+02	2.573e+00
1.656e+02	2.598e+00
1.663e+02	2.623e+00
1.670e+02	2.649e+00
1.678e+02	2.675e+00
1.680e+02	2.700e+00
1.685e+02	2.725e+00
1.692e+02	2.750e+00
1.701e+02	2.775e+00
1.705e+02	2.799e+00
1.710e+02	2.825e+00
1.716e+02	2.850e+00
1.727e+02	2.875e+00
1.735e+02	2.899e+00
1.746e+02	2.924e+00
1.749e+02	2.950e+00
1.765e+02	2.974e+00
1.770e+02	2.999e+00
1.776e+02	3.024e+00
1.778e+02	3.049e+00
1.784e+02	3.074e+00
1.785e+02	3.099e+00
1.792e+02	3.125e+00
1.795e+02	3.149e+00
1.806e+02	3.174e+00
1.819e+02	3.199e+00
1.829e+02	3.225e+00
1.833e+02	3.249e+00
1.844e+02	3.275e+00
1.846e+02	3.300e+00
1.842e+02	3.324e+00
1.849e+02	3.350e+00
1.855e+02	3.374e+00
1.861e+02	3.400e+00
1.866e+02	3.425e+00
1.869e+02	3.450e+00
1.872e+02	3.474e+00
1.882e+02	3.499e+00
1.892e+02	3.525e+00
1.895e+02	3.549e+00
1.897e+02	3.575e+00
1.902e+02	3.601e+00
1.906e+02	3.626e+00
1.914e+02	3.651e+00
1.918e+02	3.676e+00
1.930e+02	3.702e+00
1.939e+02	3.727e+00
1.956e+02	3.753e+00
1.961e+02	3.778e+00
1.966e+02	3.804e+00
1.974e+02	3.829e+00
1.978e+02	3.854e+00
1.984e+02	3.880e+00
1.983e+02	3.905e+00
1.990e+02	3.930e+00
1.995e+02	3.955e+00
2.003e+02	3.980e+00
2.006e+02	4.006e+00
2.011e+02	4.031e+00
2.018e+02	4.056e+00
2.026e+02	4.081e+00
2.032e+02	4.106e+00
2.042e+02	4.133e+00
2.042e+02	4.158e+00
2.054e+02	4.183e+00
2.057e+02	4.209e+00
2.062e+02	4.234e+00
2.068e+02	4.259e+00
2.076e+02	4.285e+00
2.084e+02	4.310e+00
2.087e+02	4.336e+00
2.093e+02	4.361e+00
2.104e+02	4.386e+00
2.111e+02	4.412e+00
2.113e+02	4.437e+00
2.119e+02	4.463e+00
2.126e+02	4.488e+00
2.127e+02	4.513e+00
2.137e+02	4.538e+00
2.143e+02	4.564e+00
2.152e+02	4.589e+00
2.167e+02	4.615e+00
2.169e+02	4.640e+00
2.174e+02	4.665e+00
2.179e+02	4.691e+00
2.186e+02	4.716e+00
2.192e+02	4.741e+00
2.206e+02	4.767e+00
2.211e+02	4.792e+00
2.218e+02	4.818e+00
2.224e+02	4.843e+00
2.231e+02	4.869e+00
2.239e+02	4.894e+00
2.249e+02	4.919e+00
2.257e+02	4.945e+00
2.266e+02	4.970e+00
2.269e+02	4.996e+00
2.275e+02	5.000e+00
2.338e+02	5.000e+00
2.340e+02	4.951e+00
2.338e+02	4.901e+00
2.337e+02	4.852e+00
2.324e+02	4.804e+00
2.334e+02	4.755e+00
2.334e+02	4.706e+00
2.331e+02	4.656e+00
2.332e+02	4.608e+00
2.330e+02	4.559e+00
2.328e+02	4.510e+00
2.327e+02	4.461e+00
2.323e+02	4.412e+00
2.322e+02	4.363e+00
2.323e+02	4.313e+00
2.322e+02	4.264e+00
2.316e+02	4.216e+00
2.314e+02	4.167e+00
2.311e+02	4.117e+00
2.312e+02	4.068e+00
2.311e+02	4.018e+00
2.313e+02	3.969e+00
2.304e+02	3.920e+00
