# Depth(nm)	Force(mN)
3.705e+01	5.453e-03
4.053e+01	5.621e-02
4.828e+01	1.073e-01
5.664e+01	1.597e-01
6.212e+01	2.097e-01
6.777e+01	2.595e-01
7.296e+01	3.088e-01
7.854e+01	3.591e-01
8.421e+01	4.092e-01
8.832e+01	4.609e-01
9.305e+01	5.116e-01
9.811e+01	5.640e-01
1.025e+02	6.135e-01
1.059e+02	6.643e-01
1.085e+02	7.143e-01
1.115e+02	7.643e-01
1.153e+02	8.136e-01
1.188e+02	8.632e-01
1.219e+02	9.134e-01
1.267e+02	9.642e-01
1.320e+02	1.014e+00
1.355e+02	1.065e+00
1.382e+02	1.114e+00
1.409e+02	1.164e+00
1.434e+02	1.215e+00
1.470e+02	1.266e+00
1.500e+02	1.316e+00
1.530e+02	1.366e+00
1.560e+02	1.416e+00
1.581e+02	1.466e+00
1.612e+02	1.515e+00
1.645e+02	1.566e+00
1.670e+02	1.616e+00
1.681e+02	1.666e+00
1.708e+02	1.715e+00
1.734e+02	1.766e+00
1.758e+02	1.816e+00
1.787e+02	1.866e+00
1.815e+02	1.916e+00
1.842e+02	1.966e+00
1.872e+02	2.017e+00
1.896e+02	2.066e+00
1.919e+02	2.116e+00
1.944e+02	2.166e+00
1.984e+02	2.216e+00
2.012e+02	2.266e+00
2.037e+02	2.316e+00
2.052e+02	2.366e+00
2.083e+02	2.416e+00
2.121e+02	2.466e+00
2.166e+02	2.516e+00
2.200e+02	2.566e+00
2.211e+02	2.615e+00
2.227e+02	2.665e+00
2.237e+02	2.715e+00
2.250e+02	2.766e+00
2.273e+02	2.816e+00
2.294e+02	2.866e+00
2.315e+02	2.916e+00
2.321e+02	2.967e+00
2.339e+02	3.017e+00
2.350e+02	3.067e+00
2.360e+02	3.117e+00
2.371e+02	3.168e+00
2.385e+02	3.217e+00
2.401e+02	3.267e+00
2.420e+02	3.317e+00
2.441e+02	3.366e+00
2.459e+02	3.418e+00
2.479e+02	3.468e+00
2.496e+02	3.519e+00
2.515e+02	3.570e+00
2.532e+02	3.619e+00
2.546e+02	3.669e+00
2.566e+02	3.719e+00
2.583e+02	3.769e+00
2.599e+02	3.819e+00
2.618e+02	3.869e+00
2.640e+02	3.919e+00
2.665e+02	3.969e+00
2.683e+02	4.019e+00
2.703e+02	4.069e+00
2.721e+02	4.121e+00
2.736e+02	4.173e+00
2.754e+02	4.223e+00
