# Depth(nm)	Force(mN)
2.741e+00	9.184e-03
3.653e+00	2.171e-02
5.340e+00	3.420e-02
7.412e+00	4.719e-02
9.891e+00	6.031e-02
1.161e+01	7.293e-02
1.400e+01	8.556e-02
1.611e+01	9.834e-02
1.807e+01	1.114e-01
2.037e+01	1.241e-01
2.211e+01	1.365e-01
2.382e+01	1.489e-01
2.585e+01	1.614e-01
2.803e+01	1.739e-01
2.943e+01	1.864e-01
3.157e+01	1.989e-01
3.290e+01	2.114e-01
3.610e+01	2.239e-01
3.686e+01	2.364e-01
3.643e+01	2.490e-01
3.839e+01	2.614e-01
4.048e+01	2.738e-01
4.239e+01	2.864e-01
4.349e+01	2.988e-01
4.454e+01	3.114e-01
4.608e+01	3.239e-01
4.679e+01	3.365e-01
4.809e+01	3.490e-01
5.111e+01	3.617e-01
5.276e+01	3.741e-01
5.378e+01	3.864e-01
5.398e+01	3.989e-01
5.430e+01	4.120e-01
5.508e+01	4.244e-01
5.668e+01	4.370e-01
5.790e+01	4.493e-01
5.955e+01	4.616e-01
6.060e+01	4.741e-01
6.161e+01	4.867e-01
6.288e+01	4.990e-01
6.466e+01	5.116e-01
6.581e+01	5.245e-01
6.689e+01	5.372e-01
6.865e+01	5.496e-01
6.933e+01	5.620e-01
7.083e+01	5.744e-01
7.135e+01	5.870e-01
7.316e+01	5.995e-01
7.463e+01	6.120e-01
7.564e+01	6.245e-01
7.618e+01	6.370e-01
7.633e+01	6.495e-01
7.671e+01	6.620e-01
7.734e+01	6.745e-01
7.897e+01	6.871e-01
8.109e+01	6.996e-01
8.158e+01	7.120e-01
8.253e+01	7.245e-01
8.369e+01	7.369e-01
8.476e+01	7.495e-01
8.567e+01	7.620e-01
8.641e+01	7.745e-01
8.714e+01	7.868e-01
8.760e+01	7.994e-01
8.801e+01	8.119e-01
8.852e+01	8.245e-01
8.889e+01	8.372e-01
8.908e+01	8.498e-01
9.021e+01	8.623e-01
9.122e+01	8.751e-01
9.199e+01	8.878e-01
9.371e+01	9.003e-01
9.529e+01	9.127e-01
9.549e+01	9.253e-01
9.568e+01	9.378e-01
9.592e+01	9.507e-01
9.729e+01	9.632e-01
9.785e+01	9.758e-01
9.827e+01	9.884e-01
9.923e+01	1.001e+00
9.987e+01	1.014e+00
1.009e+02	1.026e+00
1.015e+02	1.039e+00
1.026e+02	1.051e+00
1.039e+02	1.064e+00
1.041e+02	1.077e+00
1.047e+02	1.089e+00
1.051e+02	1.102e+00
1.055e+02	1.115e+00
1.048e+02	1.127e+00
1.076e+02	1.139e+00
1.098e+02	1.152e+00
1.104e+02	1.164e+00
1.109e+02	1.177e+00
1.116e+02	1.189e+00
1.124e+02	1.202e+00
1.146e+02	1.215e+00
1.149e+02	1.227e+00
1.155e+02	1.239e+00
1.167e+02	1.250e+00
1.180e+02	1.250e+00
1.181e+02	1.229e+00
1.177e+02	1.208e+00
1.176e+02	1.188e+00
1.178e+02	1.168e+00
1.176e+02	1.147e+00
1.177e+02	1.126e+00
1.173e+02	1.106e+00
1.173e+02	1.085e+00
1.169e+02	1.064e+00
1.169e+02	1.044e+00
1.165e+02	1.024e+00
1.166e+02	1.004e+00
1.161e+02	9.833e-01
1.159e+02	9.631e-01
1.161e+02	9.427e-01
1.157e+02	9.222e-01
1.155e+02	9.018e-01
1.157e+02	8.817e-01
1.151e+02	8.615e-01
1.152e+02	8.411e-01
1.151e+02	8.209e-01
1.148e+02	8.005e-01
1.148e+02	7.800e-01
1.146e+02	7.597e-01
1.143e+02	7.393e-01
1.140e+02	7.190e-01
1.140e+02	6.987e-01
1.137e+02	6.784e-01
1.132e+02	6.579e-01
1.132e+02	6.373e-01
1.134e+02	6.166e-01
1.132e+02	5.963e-01
1.128e+02	5.760e-01
1.129e+02	5.558e-01
1.126e+02	5.356e-01
1.123e+02	5.153e-01
1.123e+02	4.951e-01
1.120e+02	4.746e-01
1.119e+02	4.544e-01
1.120e+02	4.342e-01
1.116e+02	4.137e-01
1.109e+02	3.934e-01
1.111e+02	3.731e-01
1.109e+02	3.529e-01
1.107e+02	3.326e-01
1.104e+02	3.120e-01
1.103e+02	2.916e-01
1.103e+02	2.714e-01
1.099e+02	2.507e-01
1.094e+02	2.300e-01
1.089e+02	2.095e-01
1.088e+02	1.892e-01
1.078e+02	1.686e-01
1.069e+02	1.483e-01
1.070e+02	1.279e-01
1.070e+02	1.241e-01
1.087e+02	1.241e-01
1.090e+02	1.037e-01
1.081e+02	8.334e-02
1.075e+02	6.290e-02
1.070e+02	4.253e-02
1.072e+02	2.248e-02
1.056e+02	2.116e-03
1.052e+02	0.000e+00
