# Depth(nm)	Force(mN)
2.786e+00	8.245e-03
3.760e+00	2.336e-02
5.760e+00	3.851e-02
7.562e+00	5.344e-02
1.157e+01	6.822e-02
1.405e+01	8.496e-02
1.715e+01	1.003e-01
1.975e+01	1.159e-01
2.178e+01	1.308e-01
2.328e+01	1.457e-01
2.506e+01	1.607e-01
2.754e+01	1.760e-01
2.956e+01	1.909e-01
3.255e+01	2.058e-01
3.357e+01	2.208e-01
3.514e+01	2.358e-01
3.660e+01	2.507e-01
3.776e+01	2.656e-01
3.843e+01	2.806e-01
3.938e+01	2.957e-01
4.238e+01	3.106e-01
4.374e+01	3.254e-01
4.590e+01	3.407e-01
4.783e+01	3.560e-01
4.902e+01	3.711e-01
5.094e+01	3.860e-01
5.257e+01	4.008e-01
5.406e+01	4.164e-01
5.635e+01	4.314e-01
5.866e+01	4.464e-01
6.045e+01	4.615e-01
6.169e+01	4.766e-01
6.302e+01	4.915e-01
6.437e+01	5.065e-01
6.524e+01	5.220e-01
6.586e+01	5.376e-01
6.586e+01	5.524e-01
6.699e+01	5.674e-01
6.794e+01	5.824e-01
7.088e+01	5.973e-01
7.352e+01	6.124e-01
7.684e+01	6.273e-01
7.792e+01	6.426e-01
7.893e+01	6.574e-01
8.038e+01	6.724e-01
8.058e+01	6.873e-01
8.115e+01	7.024e-01
8.180e+01	7.173e-01
8.253e+01	7.323e-01
8.312e+01	7.473e-01
8.392e+01	7.625e-01
8.511e+01	7.774e-01
8.610e+01	7.923e-01
8.683e+01	8.075e-01
8.729e+01	8.224e-01
8.874e+01	8.374e-01
9.006e+01	8.523e-01
9.081e+01	8.676e-01
9.252e+01	8.825e-01
9.446e+01	8.974e-01
9.553e+01	9.123e-01
9.614e+01	9.273e-01
9.740e+01	9.422e-01
9.852e+01	9.573e-01
9.876e+01	9.724e-01
9.952e+01	9.874e-01
9.969e+01	1.003e+00
1.014e+02	1.017e+00
1.022e+02	1.033e+00
1.027e+02	1.048e+00
1.034e+02	1.063e+00
1.051e+02	1.078e+00
1.060e+02	1.093e+00
1.063e+02	1.108e+00
1.069e+02	1.123e+00
1.077e+02	1.138e+00
1.087e+02	1.153e+00
1.112e+02	1.168e+00
1.124e+02	1.183e+00
1.129e+02	1.198e+00
1.140e+02	1.213e+00
1.141e+02	1.228e+00
1.147e+02	1.243e+00
1.152e+02	1.258e+00
1.157e+02	1.273e+00
1.168e+02	1.288e+00
1.184e+02	1.303e+00
1.186e+02	1.318e+00
1.195e+02	1.334e+00
1.200e+02	1.349e+00
1.206e+02	1.364e+00
1.210e+02	1.379e+00
1.226e+02	1.394e+00
1.240e+02	1.409e+00
1.239e+02	1.424e+00
1.244e+02	1.439e+00
1.247e+02	1.454e+00
1.252e+02	1.469e+00
1.262e+02	1.484e+00
1.277e+02	1.499e+00
1.287e+02	1.500e+00
1.328e+02	1.500e+00
1.330e+02	1.475e+00
1.325e+02	1.450e+00
1.320e+02	1.426e+00
1.318e+02	1.402e+00
1.321e+02	1.378e+00
1.319e+02	1.353e+00
1.321e+02	1.329e+00
1.318e+02	1.304e+00
1.315e+02	1.280e+00
1.314e+02	1.256e+00
1.310e+02	1.232e+00
1.310e+02	1.207e+00
1.309e+02	1.183e+00
1.307e+02	1.159e+00
1.302e+02	1.134e+00
1.304e+02	1.110e+00
1.302e+02	1.086e+00
1.299e+02	1.061e+00
1.297e+02	1.036e+00
1.295e+02	1.012e+00
1.294e+02	9.877e-01
1.294e+02	9.629e-01
1.291e+02	9.384e-01
1.292e+02	9.143e-01
1.288e+02	8.900e-01
1.288e+02	8.655e-01
1.288e+02	8.409e-01
1.282e+02	8.166e-01
1.283e+02	7.919e-01
1.281e+02	7.675e-01
1.275e+02	7.428e-01
1.275e+02	7.186e-01
1.275e+02	6.944e-01
1.271e+02	6.700e-01
1.264e+02	6.457e-01
1.270e+02	6.213e-01
1.264e+02	5.969e-01
1.264e+02	5.727e-01
1.256e+02	5.483e-01
1.246e+02	5.242e-01
1.256e+02	4.998e-01
1.253e+02	4.754e-01
1.254e+02	4.507e-01
1.247e+02	4.266e-01
1.243e+02	4.020e-01
1.247e+02	3.780e-01
1.243e+02	3.537e-01
1.239e+02	3.292e-01
1.238e+02	3.050e-01
1.236e+02	2.796e-01
1.232e+02	2.555e-01
1.227e+02	2.307e-01
1.225e+02	2.063e-01
1.222e+02	1.817e-01
1.218e+02	1.573e-01
1.214e+02	1.492e-01
1.212e+02	1.492e-01
1.207e+02	1.246e-01
1.204e+02	9.964e-02
1.202e+02	7.534e-02
1.195e+02	5.083e-02
1.183e+02	2.648e-02
1.098e+02	1.762e-03
8.892e+01	0.000e+00
