# Depth(nm)	Force(mN)
3.084e+00	1.009e-02
3.869e+00	2.510e-02
5.316e+00	4.033e-02
6.432e+00	5.537e-02
7.887e+00	7.061e-02
9.266e+00	8.578e-02
1.410e+01	1.010e-01
1.844e+01	1.167e-01
2.051e+01	1.316e-01
2.254e+01	1.465e-01
2.538e+01	1.613e-01
2.791e+01	1.763e-01
3.089e+01	1.911e-01
3.267e+01	2.059e-01
3.404e+01	2.212e-01
3.545e+01	2.360e-01
3.665e+01	2.508e-01
3.766e+01	2.658e-01
3.997e+01	2.806e-01
4.120e+01	2.958e-01
4.418e+01	3.108e-01
4.615e+01	3.259e-01
4.801e+01	3.410e-01
4.932e+01	3.559e-01
5.086e+01	3.708e-01
5.292e+01	3.861e-01
5.384e+01	4.011e-01
5.490e+01	4.165e-01
5.567e+01	4.322e-01
5.656e+01	4.475e-01
5.908e+01	4.625e-01
6.265e+01	4.776e-01
6.419e+01	4.927e-01
6.596e+01	5.076e-01
6.838e+01	5.232e-01
6.971e+01	5.384e-01
7.003e+01	5.532e-01
7.034e+01	5.685e-01
7.199e+01	5.835e-01
7.292e+01	5.989e-01
7.360e+01	6.139e-01
7.388e+01	6.289e-01
7.415e+01	6.439e-01
7.511e+01	6.589e-01
7.565e+01	6.738e-01
7.640e+01	6.888e-01
7.788e+01	7.038e-01
7.996e+01	7.186e-01
8.248e+01	7.338e-01
8.347e+01	7.488e-01
8.400e+01	7.638e-01
8.437e+01	7.791e-01
8.420e+01	7.942e-01
8.592e+01	8.091e-01
8.689e+01	8.240e-01
8.799e+01	8.390e-01
8.967e+01	8.541e-01
9.107e+01	8.691e-01
9.125e+01	8.841e-01
9.266e+01	8.991e-01
9.398e+01	9.141e-01
9.505e+01	9.293e-01
9.766e+01	9.442e-01
9.887e+01	9.594e-01
9.964e+01	9.746e-01
1.005e+02	9.895e-01
1.012e+02	1.005e+00
1.014e+02	1.020e+00
1.035e+02	1.035e+00
1.042e+02	1.051e+00
1.047e+02	1.066e+00
1.052e+02	1.081e+00
1.063e+02	1.096e+00
1.068e+02	1.111e+00
1.073e+02	1.126e+00
1.076e+02	1.141e+00
1.083e+02	1.156e+00
1.098e+02	1.171e+00
1.108e+02	1.186e+00
1.127e+02	1.201e+00
1.142e+02	1.216e+00
1.141e+02	1.232e+00
1.157e+02	1.247e+00
1.163e+02	1.261e+00
1.186e+02	1.277e+00
1.194e+02	1.292e+00
1.195e+02	1.307e+00
1.211e+02	1.322e+00
1.219e+02	1.337e+00
1.224e+02	1.352e+00
1.228e+02	1.368e+00
1.236e+02	1.383e+00
1.240e+02	1.398e+00
1.247e+02	1.413e+00
1.254e+02	1.428e+00
1.255e+02	1.443e+00
1.258e+02	1.458e+00
1.269e+02	1.473e+00
1.278e+02	1.488e+00
1.291e+02	1.500e+00
1.355e+02	1.500e+00
1.356e+02	1.475e+00
1.354e+02	1.450e+00
1.354e+02	1.426e+00
1.350e+02	1.401e+00
1.350e+02	1.377e+00
1.348e+02	1.352e+00
1.346e+02	1.328e+00
1.345e+02	1.303e+00
1.343e+02	1.279e+00
1.341e+02	1.255e+00
1.340e+02	1.230e+00
1.340e+02	1.206e+00
1.339e+02	1.182e+00
1.337e+02	1.157e+00
1.335e+02	1.133e+00
1.332e+02	1.109e+00
1.331e+02	1.084e+00
1.329e+02	1.060e+00
1.324e+02	1.035e+00
1.328e+02	1.011e+00
1.326e+02	9.858e-01
1.326e+02	9.617e-01
1.323e+02	9.377e-01
1.319e+02	9.135e-01
1.318e+02	8.888e-01
1.317e+02	8.645e-01
1.314e+02	8.400e-01
1.313e+02	8.158e-01
1.307e+02	7.908e-01
1.302e+02	7.660e-01
1.305e+02	7.411e-01
1.305e+02	7.165e-01
1.304e+02	6.922e-01
1.300e+02	6.676e-01
1.300e+02	6.434e-01
1.301e+02	6.186e-01
1.296e+02	5.936e-01
1.295e+02	5.687e-01
1.291e+02	5.445e-01
1.291e+02	5.199e-01
1.287e+02	4.958e-01
1.285e+02	4.716e-01
1.283e+02	4.475e-01
1.280e+02	4.235e-01
1.277e+02	3.987e-01
1.275e+02	3.738e-01
1.275e+02	3.495e-01
1.271e+02	3.248e-01
1.267e+02	3.005e-01
1.261e+02	2.758e-01
1.261e+02	2.513e-01
1.258e+02	2.272e-01
1.256e+02	2.028e-01
1.250e+02	1.781e-01
1.240e+02	1.536e-01
1.243e+02	1.490e-01
1.233e+02	1.490e-01
1.230e+02	1.244e-01
1.229e+02	1.001e-01
1.219e+02	7.583e-02
1.215e+02	5.151e-02
1.206e+02	2.712e-02
1.178e+02	4.558e-03
1.178e+02	0.000e+00
