# Depth(nm)	Force(mN)
2.540e+00	9.077e-03
7.707e+00	5.824e-02
1.633e+01	1.078e-01
2.168e+01	1.597e-01
2.749e+01	2.096e-01
3.236e+01	2.597e-01
3.756e+01	3.095e-01
4.316e+01	3.600e-01
4.716e+01	4.099e-01
5.234e+01	4.613e-01
5.714e+01	5.112e-01
6.170e+01	5.632e-01
6.751e+01	6.126e-01
7.276e+01	6.625e-01
7.559e+01	7.126e-01
7.701e+01	7.627e-01
7.957e+01	8.125e-01
8.357e+01	8.626e-01
8.694e+01	9.132e-01
8.850e+01	9.630e-01
9.253e+01	1.014e+00
9.685e+01	1.065e+00
1.007e+02	1.115e+00
1.028e+02	1.165e+00
1.059e+02	1.214e+00
1.086e+02	1.264e+00
1.106e+02	1.314e+00
1.143e+02	1.364e+00
1.169e+02	1.415e+00
1.188e+02	1.465e+00
1.211e+02	1.515e+00
1.247e+02	1.564e+00
1.277e+02	1.615e+00
1.305e+02	1.665e+00
1.348e+02	1.715e+00
1.370e+02	1.765e+00
1.391e+02	1.815e+00
1.417e+02	1.865e+00
1.441e+02	1.914e+00
1.460e+02	1.963e+00
1.476e+02	2.013e+00
1.501e+02	2.063e+00
1.534e+02	2.113e+00
1.574e+02	2.163e+00
1.602e+02	2.213e+00
1.637e+02	2.263e+00
1.648e+02	2.313e+00
1.660e+02	2.363e+00
1.682e+02	2.413e+00
1.720e+02	2.463e+00
1.744e+02	2.514e+00
1.772e+02	2.563e+00
1.787e+02	2.613e+00
1.811e+02	2.663e+00
1.829e+02	2.714e+00
1.848e+02	2.764e+00
1.864e+02	2.813e+00
1.892e+02	2.863e+00
1.913e+02	2.913e+00
1.935e+02	2.963e+00
1.955e+02	3.012e+00
1.979e+02	3.063e+00
2.009e+02	3.113e+00
2.032e+02	3.163e+00
2.054e+02	3.213e+00
2.074e+02	3.263e+00
2.086e+02	3.313e+00
2.094e+02	3.363e+00
2.109e+02	3.413e+00
2.138e+02	3.463e+00
2.161e+02	3.513e+00
2.177e+02	3.563e+00
2.187e+02	3.613e+00
2.205e+02	3.663e+00
2.221e+02	3.713e+00
2.242e+02	3.763e+00
2.263e+02	3.814e+00
2.282e+02	3.863e+00
2.301e+02	3.913e+00
2.321e+02	3.963e+00
2.335e+02	4.013e+00
2.354e+02	4.063e+00
2.380e+02	4.112e+00
2.397e+02	4.165e+00
2.411e+02	4.215e+00
2.429e+02	4.264e+00
2.448e+02	4.315e+00
2.458e+02	4.365e+00
2.473e+02	4.415e+00
2.495e+02	4.466e+00
2.513e+02	4.516e+00
2.531e+02	4.567e+00
2.547e+02	4.617e+00
2.569e+02	4.667e+00
2.585e+02	4.717e+00
2.603e+02	4.768e+00
2.616e+02	4.818e+00
2.630e+02	4.868e+00
2.652e+02	4.918e+00
2.673e+02	4.968e+00
2.696e+02	5.019e+00
2.707e+02	5.068e+00
2.721e+02	5.119e+00
2.730e+02	5.171e+00
2.745e+02	5.221e+00
2.757e+02	5.271e+00
2.779e+02	5.322e+00
2.794e+02	5.371e+00
2.805e+02	5.421e+00
2.818e+02	5.471e+00
2.834e+02	5.522e+00
2.847e+02	5.572e+00
2.864e+02	5.622e+00
2.881e+02	5.672e+00
2.896e+02	5.723e+00
2.908e+02	5.774e+00
2.929e+02	5.823e+00
2.950e+02	5.874e+00
2.957e+02	5.923e+00
2.973e+02	5.973e+00
2.988e+02	6.023e+00
3.004e+02	6.073e+00
3.017e+02	6.123e+00
3.037e+02	6.173e+00
3.050e+02	6.224e+00
3.063e+02	6.275e+00
3.076e+02	6.325e+00
3.093e+02	6.375e+00
3.109e+02	6.427e+00
3.124e+02	6.477e+00
3.139e+02	6.527e+00
3.150e+02	6.577e+00
3.164e+02	6.627e+00
3.178e+02	6.678e+00
3.190e+02	6.728e+00
3.203e+02	6.777e+00
3.220e+02	6.828e+00
3.238e+02	6.878e+00
3.247e+02	6.929e+00
3.261e+02	6.979e+00
3.272e+02	7.028e+00
3.287e+02	7.079e+00
3.299e+02	7.129e+00
3.314e+02	7.179e+00
3.326e+02	7.229e+00
3.345e+02	7.280e+00
3.351e+02	7.330e+00
3.362e+02	7.381e+00
3.377e+02	7.430e+00
3.389e+02	7.481e+00
3.401e+02	7.531e+00
3.420e+02	7.581e+00
3.434e+02	7.633e+00
3.442e+02	7.683e+00
3.454e+02	7.734e+00
3.472e+02	7.785e+00
3.486e+02	7.835e+00
3.501e+02	7.886e+00
3.510e+02	7.937e+00
3.520e+02	7.988e+00
3.532e+02	8.039e+00
3.547e+02	8.089e+00
3.557e+02	8.140e+00
3.567e+02	8.190e+00
3.583e+02	8.240e+00
3.594e+02	8.290e+00
3.610e+02	8.339e+00
3.623e+02	8.390e+00
3.631e+02	8.440e+00
3.641e+02	8.491e+00
3.657e+02	8.541e+00
3.664e+02	8.591e+00
3.675e+02	8.641e+00
3.690e+02	8.691e+00
3.700e+02	8.742e+00
3.710e+02	8.793e+00
3.715e+02	8.844e+00
3.733e+02	8.894e+00
3.746e+02	8.945e+00
3.755e+02	8.995e+00
3.767e+02	9.046e+00
3.780e+02	9.097e+00
3.786e+02	9.148e+00
3.795e+02	9.200e+00
3.804e+02	9.250e+00
3.815e+02	9.299e+00
3.826e+02	9.350e+00
3.830e+02	9.400e+00
3.844e+02	9.451e+00
3.851e+02	9.501e+00
3.864e+02	9.551e+00
3.870e+02	9.602e+00
3.876e+02	9.653e+00
3.882e+02	9.704e+00
3.891e+02	9.755e+00
3.895e+02	9.805e+00
3.907e+02	9.856e+00
3.915e+02	9.908e+00
3.918e+02	9.958e+00
3.928e+02	1.000e+01
3.985e+02	1.000e+01
3.983e+02	9.901e+00
3.981e+02	9.805e+00
3.977e+02	9.706e+00
3.976e+02	9.608e+00
3.972e+02	9.510e+00
3.973e+02	9.413e+00
3.970e+02	9.314e+00
3.969e+02	9.217e+00
3.970e+02	9.120e+00
3.962e+02	9.023e+00
3.962e+02	8.924e+00
3.958e+02	8.826e+00
3.959e+02	8.729e+00
3.958e+02	8.630e+00
3.954e+02	8.534e+00
3.952e+02	8.434e+00
3.948e+02	8.338e+00
3.943e+02	8.242e+00
3.935e+02	8.145e+00
3.937e+02	8.046e+00
3.940e+02	7.947e+00
3.937e+02	7.849e+00
3.934e+02	7.750e+00
3.931e+02	7.654e+00
3.930e+02	7.557e+00
3.927e+02	7.460e+00
3.925e+02	7.362e+00
3.919e+02	7.265e+00
3.918e+02	7.166e+00
3.916e+02	7.065e+00
3.912e+02	6.965e+00
3.908e+02	6.865e+00
3.911e+02	6.765e+00
3.912e+02	6.669e+00
3.908e+02	6.570e+00
3.903e+02	6.471e+00
