# Depth(nm)	Force(mN)
2.960e+00	9.992e-03
4.475e+00	4.459e-02
7.106e+00	7.958e-02
9.314e+00	1.147e-01
1.555e+01	1.506e-01
2.622e+01	1.860e-01
2.899e+01	2.211e-01
3.391e+01	2.559e-01
3.857e+01	2.911e-01
4.255e+01	3.262e-01
4.638e+01	3.612e-01
4.938e+01	3.963e-01
5.250e+01	4.317e-01
5.535e+01	4.681e-01
5.759e+01	5.033e-01
6.063e+01	5.397e-01
6.383e+01	5.748e-01
6.838e+01	6.097e-01
7.010e+01	6.451e-01
7.266e+01	6.819e-01
7.733e+01	7.175e-01
8.078e+01	7.522e-01
8.186e+01	7.869e-01
8.336e+01	8.216e-01
8.526e+01	8.571e-01
8.797e+01	8.920e-01
8.985e+01	9.268e-01
9.267e+01	9.615e-01
9.452e+01	9.965e-01
9.706e+01	1.031e+00
9.890e+01	1.067e+00
1.001e+02	1.103e+00
1.015e+02	1.139e+00
1.045e+02	1.174e+00
1.057e+02	1.209e+00
1.078e+02	1.244e+00
1.094e+02	1.279e+00
1.123e+02	1.313e+00
1.144e+02	1.349e+00
1.169e+02	1.384e+00
1.189e+02	1.419e+00
1.214e+02	1.455e+00
1.232e+02	1.490e+00
1.250e+02	1.525e+00
1.282e+02	1.560e+00
1.303e+02	1.595e+00
1.322e+02	1.630e+00
1.345e+02	1.665e+00
1.360e+02	1.701e+00
1.381e+02	1.735e+00
1.392e+02	1.770e+00
1.402e+02	1.805e+00
1.411e+02	1.840e+00
1.422e+02	1.875e+00
1.435e+02	1.910e+00
1.459e+02	1.945e+00
1.477e+02	1.980e+00
1.484e+02	2.015e+00
1.508e+02	2.050e+00
1.526e+02	2.086e+00
1.546e+02	2.121e+00
1.565e+02	2.157e+00
1.588e+02	2.192e+00
1.601e+02	2.227e+00
1.607e+02	2.262e+00
1.638e+02	2.297e+00
1.666e+02	2.332e+00
1.697e+02	2.367e+00
1.714e+02	2.402e+00
1.738e+02	2.438e+00
1.754e+02	2.474e+00
1.759e+02	2.509e+00
1.765e+02	2.544e+00
1.774e+02	2.579e+00
1.786e+02	2.615e+00
1.804e+02	2.651e+00
1.817e+02	2.686e+00
1.832e+02	2.720e+00
1.835e+02	2.755e+00
1.841e+02	2.791e+00
1.851e+02	2.827e+00
1.869e+02	2.863e+00
1.878e+02	2.898e+00
1.896e+02	2.933e+00
1.904e+02	2.968e+00
1.921e+02	3.003e+00
1.938e+02	3.039e+00
1.954e+02	3.074e+00
1.969e+02	3.109e+00
1.978e+02	3.144e+00
1.985e+02	3.181e+00
1.993e+02	3.215e+00
2.003e+02	3.250e+00
2.007e+02	3.286e+00
2.015e+02	3.321e+00
2.026e+02	3.356e+00
2.036e+02	3.391e+00
2.045e+02	3.425e+00
2.050e+02	3.461e+00
2.059e+02	3.496e+00
2.065e+02	3.500e+00
2.103e+02	3.500e+00
2.104e+02	3.442e+00
2.104e+02	3.384e+00
2.103e+02	3.326e+00
2.097e+02	3.270e+00
2.098e+02	3.214e+00
2.099e+02	3.157e+00
2.095e+02	3.099e+00
2.093e+02	3.041e+00
2.087e+02	2.984e+00
2.086e+02	2.926e+00
2.085e+02	2.869e+00
2.084e+02	2.812e+00
2.081e+02	2.755e+00
2.078e+02	2.697e+00
2.080e+02	2.640e+00
2.073e+02	2.582e+00
2.074e+02	2.525e+00
2.069e+02	2.469e+00
2.068e+02	2.411e+00
2.062e+02	2.352e+00
2.064e+02	2.294e+00
2.061e+02	2.236e+00
2.057e+02	2.180e+00
2.057e+02	2.123e+00
2.053e+02	2.066e+00
2.049e+02	2.009e+00
2.046e+02	1.951e+00
2.042e+02	1.895e+00
2.042e+02	1.837e+00
2.040e+02	1.780e+00
2.039e+02	1.722e+00
2.034e+02	1.666e+00
2.033e+02	1.609e+00
2.029e+02	1.552e+00
2.026e+02	1.495e+00
2.023e+02	1.438e+00
2.020e+02	1.380e+00
2.021e+02	1.324e+00
2.018e+02	1.266e+00
2.016e+02	1.210e+00
2.011e+02	1.153e+00
2.006e+02	1.095e+00
2.001e+02	1.039e+00
1.999e+02	9.810e-01
1.995e+02	9.227e-01
1.991e+02	8.657e-01
1.988e+02	8.084e-01
1.984e+02	7.515e-01
1.979e+02	6.950e-01
1.980e+02	6.370e-01
1.973e+02	5.794e-01
1.970e+02	5.223e-01
1.965e+02	4.653e-01
1.960e+02	4.084e-01
1.956e+02	3.518e-01
1.954e+02	3.490e-01
1.960e+02	3.490e-01
1.960e+02	2.919e-01
1.958e+02	2.342e-01
1.948e+02	1.762e-01
1.937e+02	1.186e-01
1.935e+02	6.169e-02
1.913e+02	4.302e-03
1.907e+02	0.000e+00
