# Depth(nm)	Force(mN)
3.402e+00	9.168e-03
4.416e+00	2.657e-02
5.839e+00	4.437e-02
6.971e+00	6.185e-02
8.709e+00	7.991e-02
1.033e+01	9.754e-02
1.556e+01	1.159e-01
2.104e+01	1.334e-01
2.355e+01	1.512e-01
2.563e+01	1.685e-01
2.702e+01	1.860e-01
2.898e+01	2.035e-01
3.151e+01	2.209e-01
3.437e+01	2.385e-01
3.555e+01	2.560e-01
3.720e+01	2.734e-01
3.951e+01	2.910e-01
4.247e+01	3.085e-01
4.347e+01	3.259e-01
4.402e+01	3.437e-01
4.654e+01	3.620e-01
4.782e+01	3.793e-01
4.915e+01	3.972e-01
5.000e+01	4.145e-01
5.182e+01	4.327e-01
5.335e+01	4.503e-01
5.510e+01	4.681e-01
5.861e+01	4.857e-01
6.285e+01	5.031e-01
6.723e+01	5.214e-01
7.107e+01	5.386e-01
7.227e+01	5.561e-01
7.215e+01	5.738e-01
7.362e+01	5.917e-01
7.450e+01	6.089e-01
7.582e+01	6.263e-01
7.603e+01	6.435e-01
7.633e+01	6.609e-01
7.654e+01	6.785e-01
7.853e+01	6.959e-01
7.937e+01	7.134e-01
8.029e+01	7.313e-01
8.055e+01	7.488e-01
8.173e+01	7.665e-01
8.330e+01	7.843e-01
8.467e+01	8.019e-01
8.659e+01	8.194e-01
8.788e+01	8.369e-01
9.017e+01	8.545e-01
9.108e+01	8.720e-01
9.160e+01	8.894e-01
9.258e+01	9.069e-01
9.278e+01	9.243e-01
9.290e+01	9.419e-01
9.397e+01	9.596e-01
9.468e+01	9.773e-01
9.695e+01	9.947e-01
9.891e+01	1.012e+00
1.001e+02	1.029e+00
1.015e+02	1.048e+00
1.019e+02	1.065e+00
1.026e+02	1.083e+00
1.033e+02	1.100e+00
1.035e+02	1.118e+00
1.037e+02	1.135e+00
1.042e+02	1.153e+00
1.055e+02	1.170e+00
1.066e+02	1.188e+00
1.082e+02	1.205e+00
1.090e+02	1.223e+00
1.096e+02	1.241e+00
1.119e+02	1.258e+00
1.127e+02	1.276e+00
1.135e+02	1.293e+00
1.143e+02	1.311e+00
1.149e+02	1.329e+00
1.155e+02	1.346e+00
1.161e+02	1.364e+00
1.169e+02	1.382e+00
1.172e+02	1.399e+00
1.174e+02	1.416e+00
1.190e+02	1.434e+00
1.205e+02	1.452e+00
1.219e+02	1.469e+00
1.225e+02	1.486e+00
1.234e+02	1.504e+00
1.250e+02	1.521e+00
1.257e+02	1.539e+00
1.287e+02	1.556e+00
1.292e+02	1.574e+00
1.296e+02	1.591e+00
1.302e+02	1.609e+00
1.312e+02	1.626e+00
1.313e+02	1.644e+00
1.326e+02	1.661e+00
1.332e+02	1.679e+00
1.333e+02	1.696e+00
1.339e+02	1.714e+00
1.344e+02	1.731e+00
1.346e+02	1.749e+00
1.359e+02	1.750e+00
1.389e+02	1.750e+00
1.385e+02	1.721e+00
1.383e+02	1.693e+00
1.385e+02	1.664e+00
1.386e+02	1.635e+00
1.384e+02	1.607e+00
1.380e+02	1.578e+00
1.378e+02	1.550e+00
1.374e+02	1.521e+00
1.375e+02	1.492e+00
1.373e+02	1.464e+00
1.370e+02	1.436e+00
1.369e+02	1.407e+00
1.367e+02	1.379e+00
1.367e+02	1.350e+00
1.363e+02	1.321e+00
1.362e+02	1.293e+00
1.361e+02	1.264e+00
1.361e+02	1.236e+00
1.356e+02	1.207e+00
1.357e+02	1.178e+00
1.356e+02	1.150e+00
1.352e+02	1.122e+00
1.351e+02	1.093e+00
1.347e+02	1.065e+00
1.345e+02	1.037e+00
1.342e+02	1.008e+00
1.341e+02	9.784e-01
1.339e+02	9.498e-01
1.339e+02	9.214e-01
1.334e+02	8.930e-01
1.332e+02	8.641e-01
1.330e+02	8.354e-01
1.328e+02	8.067e-01
1.323e+02	7.776e-01
1.320e+02	7.493e-01
1.318e+02	7.206e-01
1.315e+02	6.923e-01
1.311e+02	6.634e-01
1.311e+02	6.349e-01
1.310e+02	6.063e-01
1.307e+02	5.780e-01
1.303e+02	5.496e-01
1.302e+02	5.213e-01
1.301e+02	4.929e-01
1.300e+02	4.643e-01
1.289e+02	4.359e-01
1.293e+02	4.069e-01
1.290e+02	3.786e-01
1.285e+02	3.499e-01
1.281e+02	3.214e-01
1.278e+02	2.929e-01
1.271e+02	2.646e-01
1.269e+02	2.360e-01
1.267e+02	2.071e-01
1.256e+02	1.789e-01
1.255e+02	1.741e-01
1.219e+02	1.741e-01
1.216e+02	1.446e-01
1.216e+02	1.162e-01
1.214e+02	8.757e-02
1.212e+02	5.863e-02
1.202e+02	2.985e-02
1.192e+02	1.541e-03
1.186e+02	0.000e+00
