# Depth(nm)	Force(mN)
2.724e+00	9.071e-03
5.878e+00	4.446e-02
1.095e+01	8.011e-02
1.643e+01	1.155e-01
2.098e+01	1.518e-01
2.575e+01	1.873e-01
2.971e+01	2.222e-01
3.456e+01	2.570e-01
3.793e+01	2.923e-01
4.082e+01	3.272e-01
4.398e+01	3.634e-01
4.679e+01	3.985e-01
5.054e+01	4.344e-01
5.382e+01	4.694e-01
5.743e+01	5.041e-01
6.069e+01	5.408e-01
6.328e+01	5.760e-01
6.577e+01	6.109e-01
7.107e+01	6.453e-01
7.398e+01	6.808e-01
7.766e+01	7.169e-01
7.980e+01	7.515e-01
8.154e+01	7.862e-01
8.292e+01	8.210e-01
8.478e+01	8.559e-01
8.702e+01	8.907e-01
8.906e+01	9.258e-01
9.162e+01	9.608e-01
9.460e+01	9.959e-01
9.709e+01	1.031e+00
9.940e+01	1.067e+00
1.004e+02	1.102e+00
1.029e+02	1.137e+00
1.051e+02	1.172e+00
1.071e+02	1.208e+00
1.090e+02	1.243e+00
1.102e+02	1.277e+00
1.125e+02	1.313e+00
1.149e+02	1.348e+00
1.172e+02	1.383e+00
1.194e+02	1.418e+00
1.205e+02	1.452e+00
1.225e+02	1.487e+00
1.253e+02	1.522e+00
1.279e+02	1.558e+00
1.296e+02	1.592e+00
1.318e+02	1.627e+00
1.336e+02	1.662e+00
1.346e+02	1.697e+00
1.362e+02	1.732e+00
1.383e+02	1.767e+00
1.395e+02	1.802e+00
1.411e+02	1.837e+00
1.436e+02	1.872e+00
1.455e+02	1.908e+00
1.471e+02	1.943e+00
1.485e+02	1.978e+00
1.495e+02	2.013e+00
1.509e+02	2.048e+00
1.534e+02	2.083e+00
1.556e+02	2.118e+00
1.567e+02	2.154e+00
1.586e+02	2.190e+00
1.606e+02	2.225e+00
1.618e+02	2.260e+00
1.622e+02	2.295e+00
1.632e+02	2.331e+00
1.650e+02	2.365e+00
1.664e+02	2.400e+00
1.682e+02	2.435e+00
1.700e+02	2.470e+00
1.716e+02	2.505e+00
1.727e+02	2.540e+00
1.743e+02	2.575e+00
1.752e+02	2.610e+00
1.769e+02	2.644e+00
1.776e+02	2.679e+00
1.794e+02	2.715e+00
1.811e+02	2.749e+00
1.825e+02	2.784e+00
1.838e+02	2.820e+00
1.846e+02	2.856e+00
1.862e+02	2.892e+00
1.872e+02	2.926e+00
1.883e+02	2.961e+00
1.891e+02	2.996e+00
1.907e+02	3.031e+00
1.920e+02	3.066e+00
1.927e+02	3.101e+00
1.940e+02	3.136e+00
1.949e+02	3.171e+00
1.958e+02	3.206e+00
1.965e+02	3.241e+00
1.976e+02	3.276e+00
1.989e+02	3.312e+00
2.002e+02	3.348e+00
2.011e+02	3.383e+00
2.018e+02	3.419e+00
2.031e+02	3.453e+00
2.042e+02	3.489e+00
2.050e+02	3.500e+00
2.083e+02	3.500e+00
2.084e+02	3.443e+00
2.082e+02	3.384e+00
2.078e+02	3.327e+00
2.074e+02	3.269e+00
2.074e+02	3.213e+00
2.071e+02	3.156e+00
2.068e+02	3.099e+00
2.066e+02	3.041e+00
2.064e+02	2.983e+00
2.061e+02	2.926e+00
2.057e+02	2.870e+00
2.052e+02	2.813e+00
2.051e+02	2.756e+00
2.053e+02	2.698e+00
2.049e+02	2.640e+00
2.046e+02	2.582e+00
2.043e+02	2.525e+00
2.040e+02	2.467e+00
2.035e+02	2.411e+00
2.036e+02	2.354e+00
2.032e+02	2.296e+00
2.028e+02	2.240e+00
2.026e+02	2.183e+00
2.022e+02	2.125e+00
2.023e+02	2.068e+00
2.016e+02	2.010e+00
2.011e+02	1.953e+00
2.013e+02	1.896e+00
2.009e+02	1.839e+00
2.004e+02	1.781e+00
2.002e+02	1.725e+00
2.001e+02	1.669e+00
1.999e+02	1.611e+00
1.992e+02	1.554e+00
1.992e+02	1.496e+00
1.988e+02	1.438e+00
1.987e+02	1.382e+00
1.979e+02	1.326e+00
1.975e+02	1.269e+00
1.973e+02	1.212e+00
1.975e+02	1.155e+00
1.969e+02	1.098e+00
1.968e+02	1.041e+00
1.962e+02	9.827e-01
1.958e+02	9.264e-01
1.955e+02	8.690e-01
1.952e+02	8.126e-01
1.945e+02	7.559e-01
1.942e+02	6.996e-01
1.940e+02	6.428e-01
1.940e+02	5.849e-01
1.935e+02	5.277e-01
1.930e+02	4.716e-01
1.921e+02	4.153e-01
1.920e+02	3.579e-01
1.917e+02	3.491e-01
1.886e+02	3.491e-01
1.884e+02	2.926e-01
1.881e+02	2.362e-01
1.876e+02	1.790e-01
1.870e+02	1.206e-01
1.867e+02	6.227e-02
1.846e+02	5.173e-03
1.831e+02	0.000e+00
