# Depth(nm)	Force(mN)
3.013e+00	1.011e-02
3.914e+00	2.995e-02
5.509e+00	5.058e-02
9.246e+00	7.132e-02
1.421e+01	9.147e-02
1.636e+01	1.141e-01
1.911e+01	1.344e-01
2.184e+01	1.547e-01
2.437e+01	1.747e-01
2.670e+01	1.949e-01
2.866e+01	2.154e-01
3.120e+01	2.354e-01
3.320e+01	2.554e-01
3.580e+01	2.754e-01
3.894e+01	2.957e-01
4.166e+01	3.156e-01
4.430e+01	3.359e-01
4.577e+01	3.556e-01
4.872e+01	3.755e-01
5.235e+01	3.960e-01
5.649e+01	4.158e-01
5.907e+01	4.372e-01
6.117e+01	4.573e-01
6.231e+01	4.773e-01
6.287e+01	4.972e-01
6.333e+01	5.174e-01
6.586e+01	5.385e-01
6.815e+01	5.589e-01
6.909e+01	5.790e-01
6.957e+01	5.990e-01
6.957e+01	6.191e-01
6.951e+01	6.393e-01
7.099e+01	6.594e-01
7.211e+01	6.793e-01
7.384e+01	6.993e-01
7.676e+01	7.194e-01
8.023e+01	7.394e-01
8.128e+01	7.596e-01
8.194e+01	7.793e-01
8.211e+01	7.992e-01
8.226e+01	8.193e-01
8.336e+01	8.395e-01
8.484e+01	8.595e-01
8.702e+01	8.794e-01
8.938e+01	9.002e-01
9.074e+01	9.202e-01
9.131e+01	9.402e-01
9.380e+01	9.608e-01
9.543e+01	9.812e-01
9.682e+01	1.001e+00
9.740e+01	1.021e+00
9.815e+01	1.042e+00
9.823e+01	1.062e+00
9.896e+01	1.082e+00
1.007e+02	1.102e+00
1.033e+02	1.122e+00
1.043e+02	1.142e+00
1.047e+02	1.161e+00
1.063e+02	1.181e+00
1.081e+02	1.201e+00
1.088e+02	1.221e+00
1.091e+02	1.241e+00
1.101e+02	1.261e+00
1.122e+02	1.281e+00
1.131e+02	1.301e+00
1.139e+02	1.321e+00
1.148e+02	1.341e+00
1.155e+02	1.361e+00
1.175e+02	1.381e+00
1.197e+02	1.401e+00
1.208e+02	1.421e+00
1.227e+02	1.441e+00
1.264e+02	1.461e+00
1.278e+02	1.481e+00
1.286e+02	1.501e+00
1.294e+02	1.521e+00
1.296e+02	1.542e+00
1.306e+02	1.561e+00
1.325e+02	1.581e+00
1.330e+02	1.601e+00
1.349e+02	1.621e+00
1.363e+02	1.641e+00
1.366e+02	1.661e+00
1.368e+02	1.681e+00
1.372e+02	1.702e+00
1.374e+02	1.722e+00
1.383e+02	1.742e+00
1.391e+02	1.762e+00
1.401e+02	1.782e+00
1.405e+02	1.802e+00
1.410e+02	1.822e+00
1.421e+02	1.842e+00
1.430e+02	1.862e+00
1.439e+02	1.882e+00
1.453e+02	1.902e+00
1.457e+02	1.922e+00
1.461e+02	1.942e+00
1.467e+02	1.962e+00
1.478e+02	1.982e+00
1.484e+02	2.000e+00
1.527e+02	2.000e+00
1.532e+02	1.967e+00
1.534e+02	1.934e+00
1.538e+02	1.901e+00
1.537e+02	1.867e+00
1.533e+02	1.835e+00
1.533e+02	1.802e+00
1.532e+02	1.770e+00
1.529e+02	1.737e+00
1.528e+02	1.705e+00
1.527e+02	1.673e+00
1.523e+02	1.640e+00
1.525e+02	1.608e+00
1.523e+02	1.576e+00
1.526e+02	1.543e+00
1.518e+02	1.510e+00
1.514e+02	1.478e+00
1.515e+02	1.446e+00
1.510e+02	1.413e+00
1.506e+02	1.380e+00
1.510e+02	1.348e+00
1.509e+02	1.316e+00
1.505e+02	1.282e+00
1.503e+02	1.249e+00
1.503e+02	1.216e+00
1.502e+02	1.184e+00
1.498e+02	1.151e+00
1.495e+02	1.118e+00
1.491e+02	1.086e+00
1.489e+02	1.054e+00
1.484e+02	1.021e+00
1.486e+02	9.881e-01
1.485e+02	9.553e-01
1.485e+02	9.223e-01
1.481e+02	8.897e-01
1.480e+02	8.573e-01
1.474e+02	8.248e-01
1.471e+02	7.926e-01
1.467e+02	7.603e-01
1.467e+02	7.276e-01
1.467e+02	6.953e-01
1.464e+02	6.622e-01
1.459e+02	6.296e-01
1.458e+02	5.972e-01
1.459e+02	5.647e-01
1.455e+02	5.324e-01
1.453e+02	4.993e-01
1.450e+02	4.666e-01
1.447e+02	4.344e-01
1.443e+02	4.016e-01
1.439e+02	3.692e-01
1.435e+02	3.362e-01
1.433e+02	3.029e-01
1.427e+02	2.707e-01
1.427e+02	2.378e-01
1.422e+02	2.054e-01
1.414e+02	1.990e-01
1.386e+02	1.990e-01
1.388e+02	1.670e-01
1.386e+02	1.343e-01
1.380e+02	1.009e-01
1.376e+02	6.756e-02
1.365e+02	3.468e-02
1.357e+02	2.245e-03
1.349e+02	0.000e+00
